con_code,name,concept_name
002030.SZ,达安基因,病原体防治
300142.SZ,沃森生物,病原体防治
002022.SZ,科华生物,病原体防治
003020.SZ,立方制药,病原体防治
301111.SZ,粤万年青,病原体防治
000756.SZ,新华制药,病原体防治
603276.SH,恒兴新材,病原体防治
300529.SZ,健帆生物,病原体防治
000705.SZ,浙江震元,病原体防治
002907.SZ,华森制药,病原体防治
688076.SH,ST诺泰,病原体防治
002349.SZ,精华制药,病原体防治
301277.SZ,新天地,病原体防治
002243.SZ,力合科创,病原体防治
688399.SH,硕世生物,病原体防治
300601.SZ,康泰生物,病原体防治
300267.SZ,尔康制药,病原体防治
300396.SZ,迪瑞医疗,病原体防治
603811.SH,诚意药业,病原体防治
300194.SZ,福安药业,病原体防治
688321.SH,微芯生物,病原体防治
688179.SH,阿拉丁,病原体防治
300406.SZ,九强生物,病原体防治
300003.SZ,乐普医疗,病原体防治
300039.SZ,上海凯宝,病原体防治
688468.SH,科美诊断,病原体防治
301211.SZ,亨迪药业,病原体防治
603392.SH,万泰生物,病原体防治
002644.SZ,佛慈制药,病原体防治
002412.SZ,汉森制药,病原体防治
002900.SZ,哈三联,病原体防治
603590.SH,康辰药业,病原体防治
300244.SZ,迪安诊断,病原体防治
600812.SH,华北制药,病原体防治
002872.SZ,ST天圣,病原体防治
002086.SZ,东方海洋,病原体防治
000766.SZ,通化金马,病原体防治
301190.SZ,善水科技,病原体防治
600479.SH,千金药业,病原体防治
600351.SH,亚宝药业,病原体防治
300434.SZ,金石亚药,病原体防治
301089.SZ,拓新药业,病原体防治
300404.SZ,博济医药,病原体防治
300858.SZ,科拓生物,病原体防治
300676.SZ,华大基因,病原体防治
002728.SZ,特一药业,病原体防治
300887.SZ,谱尼测试,病原体防治
688278.SH,特宝生物,病原体防治
002821.SZ,凯莱英,病原体防治
300199.SZ,翰宇药业,病原体防治
002424.SZ,ST百灵,病原体防治
688606.SH,奥泰生物,病原体防治
300584.SZ,海辰药业,病原体防治
300485.SZ,赛升药业,病原体防治
600521.SH,华海药业,病原体防治
002566.SZ,益盛药业,病原体防治
688068.SH,热景生物,病原体防治
300463.SZ,迈克生物,病原体防治
002166.SZ,莱茵生物,病原体防治
301166.SZ,优宁维,病原体防治
603108.SH,润达医疗,病原体防治
002317.SZ,众生药业,病原体防治
301130.SZ,西点药业,病原体防治
300832.SZ,新产业,病原体防治
300318.SZ,博晖创新,病原体防治
300642.SZ,透景生命,病原体防治
300841.SZ,康华生物,病原体防治
000590.SZ,古汉医药,病原体防治
301126.SZ,达嘉维康,病原体防治
688670.SH,金迪克,病原体防治
301060.SZ,兰卫医学,病原体防治
300049.SZ,福瑞医科,病原体防治
688276.SH,百克生物,病原体防治
300497.SZ,富祥药业,病原体防治
300942.SZ,易瑞生物,病原体防治
300439.SZ,美康生物,病原体防治
000739.SZ,普洛药业,病原体防治
300753.SZ,爱朋医疗,病原体防治
688298.SH,东方生物,病原体防治
688621.SH,阳光诺和,病原体防治
002038.SZ,双鹭药业,特色药
600771.SH,广誉远,特色药
300255.SZ,常山药业,特色药
600976.SH,健民集团,特色药
600329.SH,达仁堂,特色药
600252.SH,中恒集团,特色药
000538.SZ,云南白药,特色药
688566.SH,吉贝尔,特色药
600196.SH,复星医药,特色药
600085.SH,同仁堂,特色药
600557.SH,康缘药业,特色药
000623.SZ,吉林敖东,特色药
600062.SH,华润双鹤,特色药
600671.SH,天目药业,特色药
002393.SZ,力生制药,特色药
600572.SH,康恩贝,特色药
