ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1537.DC,20260401,成品家居,匠心家居,301061.SZ,1.29,3.09,12165424.5,1.25,16,1,行业板块,东财三级行业
BK1536.DC,20260401,综合包装,京华激光,603607.SH,0.69,1.76,1814786.8,2.02,5,1,行业板块,东财三级行业
BK1535.DC,20260401,纸包装,大胜达,603687.SH,2.37,10.0,13340821.3,4.87,18,2,行业板块,东财三级行业
BK1534.DC,20260401,印刷,鸿博股份,002229.SZ,1.29,2.97,2566486.9,5.4,4,1,行业板块,东财三级行业
BK1533.DC,20260401,塑料包装,金富科技,003018.SZ,1.87,6.29,4286097.2,2.02,8,0,行业板块,东财三级行业
BK1532.DC,20260401,金属包装,华源控股,002787.SZ,0.35,1.66,6529597.7,1.69,5,2,行业板块,东财三级行业
BK1531.DC,20260401,商用载客车,宇通客车,600066.SH,0.26,3.85,10870884.1,4.8,2,2,行业板块,东财三级行业
BK1530.DC,20260401,商用载货车,中国重汽,000951.SZ,1.89,7.37,25175439.9,1.26,8,1,行业板块,东财三级行业
BK1529.DC,20260401,汽车电子电气系统,威迈斯,688612.SH,1.63,6.5,48774334.4,1.97,36,4,行业板块,东财三级行业
BK1528.DC,20260401,其他汽车零部件,华达科技,603358.SH,1.4,4.38,36740979.2,2.08,51,5,行业板块,东财三级行业
BK1527.DC,20260401,轮胎轮毂,赛轮轮胎,601058.SH,2.43,7.15,26677351.8,1.66,20,0,行业板块,东财三级行业
BK1526.DC,20260401,底盘与发动机系统,华培动力,603121.SH,1.62,9.99,120625035.2,2.46,91,19,行业板块,东财三级行业
BK1525.DC,20260401,车身附件及饰件,金钟股份,301133.SZ,2.05,8.16,53685236.8,1.46,41,1,行业板块,东财三级行业
BK1524.DC,20260401,汽车综合服务,中国汽研,601965.SH,0.95,2.32,4083889.4,1.49,3,2,行业板块,东财三级行业
BK1523.DC,20260401,汽车经销商,国机汽车,600335.SH,0.35,0.67,2304323.9,0.99,4,1,行业板块,东财三级行业
BK1522.DC,20260401,其他运输设备,绿通科技,301322.SZ,-0.46,2.24,8397238.3,2.36,2,8,行业板块,东财三级行业
BK1521.DC,20260401,摩托车,涛涛车业,301345.SZ,0.27,6.87,16015091.4,2.02,5,4,行业板块,东财三级行业
BK1520.DC,20260401,综合乘用车,上汽集团,600104.SH,-0.04,1.58,56505140.8,0.67,4,2,行业板块,东财三级行业
BK1519.DC,20260401,电动乘用车,北汽蓝谷,600733.SH,0.22,2.1,114220510.4,1.5,2,1,行业板块,东财三级行业
BK1518.DC,20260401,种子,万向德农,600371.SH,-0.58,1.99,6350805.1,3.6,3,7,行业板块,东财三级行业
BK1517.DC,20260401,食用菌,华绿生物,300970.SZ,5.65,15.94,1626741.2,3.05,4,0,行业板块,东财三级行业
BK1516.DC,20260401,其他种植业,宏辉果蔬,603336.SH,1.65,6.55,4785322.2,2.87,3,2,行业板块,东财三级行业
BK1515.DC,20260401,粮食种植,苏垦农发,601952.SH,-2.02,-1.76,4281929.6,2.18,0,2,行业板块,东财三级行业
BK1514.DC,20260401,水产养殖,大湖股份,600257.SH,1.99,6.1,1326910.5,2.44,3,1,行业板块,东财三级行业
BK1513.DC,20260401,海洋捕捞,开创国际,600097.SH,0.62,1.86,693314.5,1.85,2,1,行业板块,东财三级行业
BK1512.DC,20260401,生猪养殖,牧原股份,002714.SZ,-0.92,1.17,47469875.2,1.0,5,4,行业板块,东财三级行业
BK1511.DC,20260401,肉鸡养殖,仙坛股份,002746.SZ,1.29,2.01,6783270.0,1.3,8,0,行业板块,东财三级行业
BK1510.DC,20260401,其他养殖,华英农业,002321.SZ,-1.19,0.0,1113638.8,1.54,0,2,行业板块,东财三级行业
BK1509.DC,20260401,水产饲料,天马科技,603668.SH,1.84,3.07,9904485.0,1.45,4,0,行业板块,东财三级行业
BK1508.DC,20260401,畜禽饲料,金新农,002548.SZ,1.16,3.2,6122789.6,1.35,8,1,行业板块,东财三级行业
BK1507.DC,20260401,宠物食品,中宠股份,002891.SZ,4.34,6.42,3824750.3,3.74,4,0,行业板块,东财三级行业
BK1506.DC,20260401,农业综合Ⅲ,润农节水,920964.BJ,0.71,1.01,1184813.1,1.36,3,0,行业板块,东财三级行业
BK1505.DC,20260401,其他农产品加工,一致魔芋,920273.BJ,0.94,3.23,8254531.9,1.23,11,1,行业板块,东财三级行业
BK1504.DC,20260401,粮油加工,索宝蛋白,603231.SH,-1.01,1.39,18968185.9,4.02,3,5,行业板块,东财三级行业
BK1503.DC,20260401,果蔬加工,国投中鲁,600962.SH,-0.7,0.95,3377762.4,1.31,4,2,行业板块,东财三级行业
BK1502.DC,20260401,林业Ⅲ,ST景谷,600265.SH,-2.46,2.44,3084152.4,19.71,1,3,行业板块,东财三级行业
BK1501.DC,20260401,动物保健Ⅲ,回盛生物,300871.SZ,2.0,4.11,7072401.0,1.28,12,1,行业板块,东财三级行业
BK1500.DC,20260401,医美耗材,锦波生物,920982.BJ,6.25,13.43,7611404.5,1.05,3,0,行业板块,东财三级行业
BK1499.DC,20260401,医美服务,*ST美谷,000615.SZ,-2.0,-2.0,613109.9,1.88,0,1,行业板块,东财三级行业
BK1498.DC,20260401,品牌化妆品,上海家化,600315.SH,2.25,4.9,9722511.5,1.34,7,1,行业板块,东财三级行业
BK1497.DC,20260401,化妆品制造及其他,力合科创,002243.SZ,1.84,3.75,3152696.5,1.46,7,0,行业板块,东财三级行业
BK1496.DC,20260401,洗护用品,两面针,600249.SH,7.36,10.05,2273993.0,2.92,4,0,行业板块,东财三级行业
BK1495.DC,20260401,生活用纸,延江股份,300658.SZ,2.01,4.96,6573566.2,1.82,9,0,行业板块,东财三级行业
BK1494.DC,20260401,焦煤,淮北矿业,600985.SH,-0.35,1.7,20168868.5,2.11,4,6,行业板块,东财三级行业
BK1493.DC,20260401,动力煤,甘肃能化,000552.SZ,0.05,4.17,195236334.4,1.07,6,8,行业板块,东财三级行业
BK1492.DC,20260401,焦炭Ⅲ,美锦能源,000723.SZ,-2.16,1.06,6557493.9,3.23,2,5,行业板块,东财三级行业
BK1491.DC,20260401,端到端供应链服务,海晨股份,300873.SZ,0.47,2.7,2537020.8,2.27,6,1,行业板块,东财三级行业
BK1490.DC,20260401,原材料供应链服务,广汇物流,600603.SH,0.81,4.22,12483849.5,1.08,7,3,行业板块,东财三级行业
