date,stock_code,stock_name,pattern_type,action,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,hot_resonance,resonance_sectors,stop_loss_triggered,take_profit_triggered,entry_date,exit_reason,plan_rank,plan_score,plan_reason,factor_metrics_json
20260605,002384,东山精密,指标筛选/default,SELL,220.0392,220.96717999999998,900,517.2398154000111,0.002611073592508432,2,False,,False,True,20260603,trailing_stop,1,94.9782,综合评分 95.0，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.17/1.22 倍；流动性分位 99.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.92736517159977, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260605,605358,立昂微,指标筛选/default,BUY,65.01978,0.0,3300,0.0,0.0,0,False,,False,False,20260605,buy,3,94.6952,综合评分 94.7，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.38/1.28 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.98385048085647, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260608,000636,风华高科,指标筛选/default,SELL,51.92364,55.41894,4500,15334.552286999999,0.06560896518644042,6,False,,False,True,20260529,trailing_stop,3,94.7486,综合评分 94.7，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.39/1.18 倍；流动性分位 99.2，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.18270977115874, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69350735294117}"
20260608,600105,永鼎股份,指标筛选/default,SELL,51.102,52.894,4200,7173.210239999986,0.03341150995079537,3,False,,False,True,20260603,trailing_stop,3,94.839,综合评分 94.8，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；流动性分位 99.5，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.47339749409842, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69983235294117}"
20260609,002747,埃斯顿,指标筛选/default,BUY,36.08202,0.0,5800,0.0,0.0,0,False,,False,False,20260609,buy,2,94.3276,综合评分 94.3，候选排名第 2；当日涨幅 +9.99%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.60/1.42 倍；流动性分位 97.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.78785131459655, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.68828235294117}"
20260609,603186,华正新材,指标筛选/default,BUY,143.286,0.0,1400,0.0,0.0,0,False,,False,False,20260609,buy,3,94.2276,综合评分 94.2，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.76/1.63 倍；流动性分位 97.4，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.42520398912058, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260610,002747,埃斯顿,指标筛选/default,SELL,36.08202,35.7284,5800,-2383.170850800001,-0.011384293216159927,1,False,,False,True,20260609,trailing_stop,2,94.3276,综合评分 94.3，候选排名第 2；当日涨幅 +9.99%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.60/1.42 倍；流动性分位 97.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.78785131459655, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.68828235294117}"
20260611,002409,雅克科技,指标筛选/default,BUY,126.47244,0.0,1700,0.0,0.0,0,False,,False,False,20260611,buy,1,94.3837,综合评分 94.4，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.42/1.37 倍；流动性分位 97.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.9499274310595, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70340735294118}"
20260611,603002,宏昌电子,指标筛选/default,BUY,18.3867,0.0,12000,0.0,0.0,0,False,,False,False,20260611,buy,2,94.3306,综合评分 94.3，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.69/2.50 倍；流动性分位 97.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.76850507982583, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}"
20260611,600206,有研新材,指标筛选/default,BUY,32.49486,0.0,6800,0.0,0.0,0,False,,False,False,20260611,buy,3,94.3095,综合评分 94.3，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.98/1.85 倍；流动性分位 97.7，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.71407837445574, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.69653235294118}"
