exit_date,entry_date,stock_code,stock_name,pattern_type,action,exit_reason,shares,pnl,pnl_pct,holding_days,stop_loss_triggered,take_profit_triggered,plan_rank,plan_score,plan_reason,factor_metrics_json,factor_stk_liquidity_percentile,factor_stk_new_high_20d,factor_tech_score
20260129,20260121,002201,九鼎新材,指标筛选/default,SELL,trailing_stop,11400,4781.382299999968,0.02967778711275543,6,False,True,3,94.0726,综合评分 94.1，候选排名第 3；当日涨幅 +10.02%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.91/1.70 倍；流动性分位 96.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 96.90872507773916, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",96.90872507773916,88.23529411764706,94.70588235294119
20260129,20260128,688110,东芯股份,指标筛选/default,SELL,stop_loss,1100,-25809.59835960003,-0.14925666624981557,1,True,False,2,94.7639,综合评分 94.8，候选排名第 2；当日涨幅 +20.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.21/1.88 倍；流动性分位 99.2，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.21288669229361, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.21288669229361,88.23529411764706,94.70588235294119
20260130,20260121,601212,白银有色,指标筛选/default,SELL,trailing_stop,20300,114829.68587159994,0.7098932061051284,7,False,True,2,94.5226,综合评分 94.5，候选排名第 2；当日涨幅 +10.03%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.35/1.25 倍；流动性分位 98.4，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.40863361990122, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",98.40863361990122,88.23529411764706,94.70588235294119
20260130,20260129,601600,中国铝业,指标筛选/default,SELL,stop_loss,12200,-11725.716069599992,-0.06388528852985839,1,True,False,1,94.9341,综合评分 94.9，候选排名第 1；当日涨幅 +10.02%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.92/1.82 倍；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.78038067349927, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.78038067349927,88.23529411764706,94.70588235294119
20260130,20260129,000630,铜陵有色,指标筛选/default,SELL,stop_loss,20600,-14374.491510000022,-0.0780481162705243,1,True,False,2,94.8627,综合评分 94.9，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.51/1.32 倍；流动性分位 99.5，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.5424597364568, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.5424597364568,88.23529411764706,94.70588235294119
20260130,20260129,002716,湖南白银,指标筛选/default,SELL,stop_loss,8700,-18018.527335200022,-0.09839720339387216,1,True,False,3,94.848,综合评分 94.8，候选排名第 3；当日涨幅 +9.98%，短线强度已确认；流动性分位 99.6，承接能力较好；tech_score 94.6，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.59736456808199, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.64345735294117}",99.59736456808199,88.23529411764706,94.64345735294117
20260202,20260128,002185,华天科技,指标筛选/default,SELL,stop_loss,11900,-13222.4883882,-0.0734160974692087,3,True,False,3,94.7219,综合评分 94.7，候选排名第 3；当日涨幅 +9.98%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.38/1.33 倍；流动性分位 99.2，承接能力较好；tech_score 94.6，指标表现靠前,"{""stk_liquidity_percentile"": 99.17627677100495, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.64400735294117}",99.17627677100495,88.23529411764706,94.64400735294117
20260206,20260204,000547,航天发展,指标筛选/default,SELL,stop_loss,5000,-16485.38586000001,-0.09828232228391597,2,True,False,1,94.9374,综合评分 94.9，候选排名第 1；当日涨幅 +9.99%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.95/1.75 倍；流动性分位 99.9，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.85361390667886, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.66848235294118}",99.85361390667886,88.23529411764706,94.66848235294118
20260210,20260203,002471,中超控股,指标筛选/default,SELL,trailing_stop,19400,21289.432541999995,0.1255590093559198,5,False,True,1,94.4312,综合评分 94.4，候选排名第 1；当日涨幅 +9.96%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.42/1.40 倍；流动性分位 98.3，承接能力较好；tech_score 94.6，指标表现靠前,"{""stk_liquidity_percentile"": 98.2796486090776, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.60055735294117}",98.2796486090776,88.23529411764706,94.60055735294117
20260210,20260206,002361,神剑股份,指标筛选/default,SELL,trailing_stop,12100,7245.794212799985,0.042372444762090886,2,False,True,3,94.3141,综合评分 94.3，候选排名第 3；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.32/1.24 倍；流动性分位 97.7，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 97.71355405158222, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",97.71355405158222,88.23529411764706,94.70588235294119
