2026-06-18 12:17:41.180 | INFO     | core.factors.factor_registry:_load_layer_configs:156 - [FactorRegistry] 加载Layer配置: layer1_market_env.yaml
2026-06-18 12:17:41.181 | INFO     | core.factors.factor_registry:_load_layer_configs:156 - [FactorRegistry] 加载Layer配置: emotion_cycle.yaml
2026-06-18 12:17:41.181 | INFO     | core.factors.factor_registry:_load_layer_configs:156 - [FactorRegistry] 加载Layer配置: layer2_sector.yaml
2026-06-18 12:17:41.182 | INFO     | core.factors.factor_registry:_load_layer_configs:156 - [FactorRegistry] 加载Layer配置: layer3_stock_select.yaml
2026-06-18 12:17:41.182 | INFO     | core.factors.factor_registry:_load_layer_configs:156 - [FactorRegistry] 加载Layer配置: layer4_trade_plan.yaml
2026-06-18 12:17:41.185 | INFO     | core.factors.factor_registry:_load_profiles:311 - [FactorRegistry] 加载 5 个情绪周期 profile
2026-06-18 12:17:41.186 | INFO     | core.factors.factor_registry:reload:295 - [FactorRegistry] 配置已重新加载
2026-06-18 12:46:07.200 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 12:46:07.201 | INFO     | main:run_daily_analysis:70 - 开始执行 20260617 的日度分析（ETL 指标体系主路径）...
2026-06-18 12:46:07.201 | INFO     | main:run_daily_analysis:71 - 对比日期: 20260616
2026-06-18 12:46:07.202 | INFO     | core.etl.daily_pipeline:run:80 - [ETL] 开始 ETL 主流程: 20260617, prev=20260616
2026-06-18 12:46:07.249 | INFO     | core.data.data_prep:_prefetch_all_daily:212 - [DataPrep] all_daily 预取：5509 行 @ 20260617
2026-06-18 12:46:07.262 | INFO     | core.data.data_prep:_prefetch_stock_basic:237 - [DataPrep] stock_basic 预取：5529 行
2026-06-18 12:46:07.278 | INFO     | core.data.data_prep:_prefetch_daily_basic:225 - [DataPrep] daily_basic 预取：5509 行 @ 20260617
2026-06-18 12:46:07.607 | INFO     | core.data.data_prep:_prefetch_limit_up:299 - [DataPrep] limit_up 预取：16 个交易日，非空 16 个
2026-06-18 12:46:07.720 | INFO     | core.data.data_prep:_prefetch_sectors:365 - [DataPrep] 板块/资金流预取：['ths_index', 'ths_daily', 'limit_cpt_list', 'moneyflow_summary']（板块按日窗口 10 天，调用缓存 26 条）
2026-06-18 12:46:07.730 | INFO     | core.data.data_prep:_prefetch_index_daily:274 - [DataPrep] index_daily 预取：3 指数 × 2 窗口，成功 6 次
2026-06-18 12:46:07.731 | INFO     | core.data.data_prep:build:124 - [DataPrep] ETL主路径跳过逐股历史日线批量获取，使用 all_daily/silver 因子主表
2026-06-18 12:46:17.586 | DEBUG    | core.etl.warehouse:write_table:63 - [SilverWarehouse] parquet 写入失败，已降级 CSV stock_daily_silver: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package.
2026-06-18 12:46:17.935 | DEBUG    | core.etl.warehouse:write_table:63 - [SilverWarehouse] parquet 写入失败，已降级 CSV sector_daily_silver: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package.
2026-06-18 12:46:18.092 | DEBUG    | core.etl.warehouse:write_table:63 - [SilverWarehouse] parquet 写入失败，已降级 CSV index_daily_silver: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package.
2026-06-18 12:46:18.208 | INFO     | core.etl.warehouse:persist_market_dataset_silver:315 - [SilverWarehouse] Phase1 silver 落盘完成 20260617: quality_ok=True issues=0
2026-06-18 12:46:18.211 | INFO     | core.data.data_prep:build:141 - [DataPrep] MarketDataset(20260617) daily=0 all_daily=1 auction=0 sector_map=0 limit_up=16 prefetched=['all_daily', 'daily_basic', 'index_daily', 'limit_cpt_list', 'limit_up', 'moneyflow_summary', 'stock_basic', 'ths_daily', 'ths_index']
2026-06-18 12:46:21.126 | INFO     | snapshot.writer:write:280 - [Snapshot] 20260617 快照已落盘: json, sqlite
2026-06-18 12:46:25.995 | WARNING  | kb.embeddings:embed:51 - [KB] 云嵌入调用失败，回退词法检索: 400 Client Error: Bad Request for url: https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings
2026-06-18 12:46:25.998 | INFO     | kb.ingest:ingest_snapshot:29 - [KB] 20260617 未取得向量，按词法检索入库
2026-06-18 12:46:26.209 | INFO     | kb.ingest:ingest_snapshot:33 - [KB] 20260617 入库 11 块（词法）
2026-06-18 12:46:26.226 | INFO     | core.etl.daily_pipeline:run:127 - [ETL] 主流程完成: ok=True, 候选=10, snapshot=G:\a_stock_sentiment_system\webdata\snapshots\20260617.json
2026-06-18 12:52:22.889 | INFO     | config.config_loader:_load_all_configs:54 - [ConfigLoader] 加载配置: emotion_cycle_config.yaml
2026-06-18 12:52:22.896 | INFO     | config.config_loader:_load_all_configs:54 - [ConfigLoader] 加载配置: sector_tracker_config.yaml
2026-06-18 12:52:22.958 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/factor_registry.yaml
2026-06-18 12:52:22.962 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer1_market_env.yaml
2026-06-18 12:52:22.965 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/emotion_cycle.yaml
