trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK0839.DC,知识产权,-2.07,2039.12,37306.8784,-3.31,-2740256.0,-0.03,-264728880.0,-3.28,-126363728.0,-1.56,373068784.0,4.62,莱美药业,24,-12636.3728,-26472.888,-1802.382399999995
20260403,概念,BK0965.DC,社区团购,-2.96,858.46,30299.7104,-6.99,-122811744.0,-3.18,-147190592.0,-3.81,-32994768.0,-0.85,302997104.0,7.85,来伊份,25,-3299.4768,-14719.0592,12281.1744
20260403,概念,BK1068.DC,净水概念,-2.59,1203.09,12956.1808,-6.2,-109306704.0,-2.49,-162778720.0,-3.71,142523616.0,3.25,129561808.0,2.95,华帝股份,26,14252.3616,-16277.872,10930.670399999999
20260403,概念,BK1188.DC,DeepSeek概念,-1.71,1288.72,114787.3536,-0.34,190026496.0,0.24,-464079104.0,-0.57,-902416128.0,-1.12,1147873536.0,1.42,紫光股份,27,-90241.6128,-46407.9104,-21862.1696
20260403,概念,BK0912.DC,远程办公,-1.33,1544.0,20287.8672,-2.62,-102480736.0,-0.95,-179439760.0,-1.67,79041824.0,0.73,202878672.0,1.88,直真科技,28,7904.1824,-17943.976,10248.0736
20260403,概念,BK0849.DC,京东金融,-2.11,2031.85,24575.72,-8.79,-131790465.0,-4.1,-150878608.0,-4.69,36911888.0,1.15,245757200.0,7.65,ST任子行,29,3691.1888,-15087.8608,13179.048
20260403,概念,BK0679.DC,超导概念,-1.38,6730.85,28399.0272,-1.63,-2597616.0,-0.01,-282391552.0,-1.61,1056256.0,0.01,283990272.0,1.62,中天科技,30,105.6256,-28239.1552,265.4975999999988
20260403,概念,BK1053.DC,低价股,-2.88,1158.75,29609.856,-1.21,42591024.0,0.18,-328823040.0,-1.4,-9866240.0,-0.04,296098560.0,1.26,包钢股份,31,-986.624,-32882.304,-4259.0719999999965
20260403,概念,BK0936.DC,长寿药,-2.35,1107.51,32577.6032,-6.62,-130645360.0,-2.95,-162629984.0,-3.67,-39825392.0,-0.9,325776032.0,7.35,雪榕生物,32,-3982.5392,-16262.9984,12332.065600000002
20260403,概念,BK1150.DC,新型工业化,-1.99,1421.57,57413.6576,-0.93,-75079616.0,-0.24,-218408960.0,-0.69,-323805440.0,-1.03,574136576.0,1.82,东方国信,33,-32380.544,-21840.896,3192.2175999999963
20260403,概念,BK1026.DC,调味品概念,-2.85,1009.82,29755.3264,-4.69,-214554480.0,-3.4,-81582272.0,-1.29,-13664272.0,-0.22,297553264.0,4.72,中粮糖业,34,-1366.4272,-8158.2272,20230.672
20260403,概念,BK1655.DC,零售概念,-2.33,916.08,25061.4592,-2.71,57539280.0,0.52,-357527616.0,-3.22,49373744.0,0.45,250614592.0,2.26,常山药业,35,4937.3744,-35752.7616,-5753.927999999996
20260403,概念,BK0882.DC,猪肉概念,-3.61,1224.75,26648.4464,-4.09,-225531632.0,-3.06,-76246160.0,-1.03,30483824.0,0.41,266484464.0,3.61,华统股份,36,3048.3824,-7624.616,22072.2128
20260403,概念,BK0822.DC,租售同权,-2.69,682.8,26838.9312,-9.93,-222561536.0,-7.14,-86833840.0,-2.79,41006064.0,1.32,268389312.0,8.61,世联行,37,4100.6064,-8683.384,22256.153599999998
20260403,概念,BK0733.DC,包装材料,-3.4,1322.42,19483.8384,-4.52,-183100800.0,-2.63,-131540496.0,-1.89,112875408.0,1.62,194838384.0,2.8,昇兴股份,38,11287.5408,-13154.0496,17617.329600000005
20260403,概念,BK0971.DC,注册制次新股,-1.3,718.78,79725.6832,-1.76,8377696.0,0.05,-328016640.0,-1.8,-477617920.0,-2.62,797256832.0,4.38,摩尔线程-U,39,-47761.792,-32801.664,-837.7727999999988
20260403,概念,BK0807.DC,共享经济,-3.5,922.14,30974.2752,-9.6,-174583181.0,-5.2,-147688960.0,-4.4,12529376.0,0.37,309742752.0,9.22,世联行,40,1252.9376,-14768.896,17458.3168
