trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,行业,BK0458.DC,仪器仪表,-0.85,18964.22,3602.9696,-0.55,-100404480.0,-1.3,57633840.0,0.74,-32662592.0,-0.42,36029696.0,0.47,海川智能,46,-3266.2592,5763.384,6100.0944
20260403,行业,BK0475.DC,银行Ⅱ,-1.23,4119.5,66726.8608,-4.45,-505460304.0,-2.51,-391259648.0,-1.94,229451264.0,1.14,667268608.0,3.31,青岛银行,2,22945.1264,-39125.9648,50546.0224
20260403,概念,BK0703.DC,超级电容,-1.19,5055.49,-3591.5008,0.95,205689680.0,1.14,-34836480.0,-0.19,-134938112.0,-0.75,-35915008.0,-0.2,中天科技,18,-13493.8112,-3483.648,-20568.96
20260403,概念,BK1055.DC,虚拟数字人,-1.93,1321.81,121012.0704,-3.71,-637260816.0,-1.99,-547463424.0,-1.71,-25396736.0,-0.08,1210120704.0,3.79,东方国信,25,-2539.6736,-54746.3424,63726.0544
20260403,行业,BK1561.DC,旅游综合,-2.92,2021.83,3176.384,-5.25,-23078108.0,-2.78,-20453751.0,-2.47,11768013.0,1.42,31763840.0,3.83,陕西旅游,47,1176.8013,-2045.3751,2307.8102
20260403,行业,BK1036.DC,半导体,-0.01,2032.49,208896.2816,-0.83,683334400.0,0.62,-1601958400.0,-1.45,-1150351872.0,-1.04,2088962816.0,1.89,芯原股份,3,-115035.1872,-160195.84,-66334.74560000001
20260403,概念,BK0470.DC,造纸印刷,-1.82,10652.36,-21181.0048,2.75,68194480.0,1.27,79050240.0,1.48,34619392.0,0.65,-211810048.0,-3.95,鸿博股份,19,3461.9392,7905.024,-9814.041599999997
20260403,概念,BK0524.DC,参股期货,-1.69,31396.75,74858.6672,-8.38,-634340144.0,-4.46,-557685568.0,-3.92,443439088.0,3.12,748586672.0,5.26,宏达股份,26,44343.9088,-55768.5568,63434.0192
20260403,行业,BK1457.DC,厨房小家电,-2.3,2219.84,4795.1472,-5.94,-11070324.0,-1.51,-32504440.0,-4.43,-11416912.0,-1.56,47951472.0,6.53,苏 泊 尔,48,-1141.6912,-3250.444,403.01200000000017
20260403,行业,BK0545.DC,通用设备,-1.76,47614.2,105819.392,-2.05,-277959584.0,-0.61,-647861760.0,-1.43,-255848192.0,-0.57,1058193920.0,2.34,大元泵业,4,-25584.8192,-64786.176,15448.39680000001
20260403,概念,BK1651.DC,显示技术,-0.04,891.28,-13743.5136,0.82,101247360.0,0.61,34659392.0,0.21,1528576.0,0.01,-137435136.0,-0.83,鼎龙股份,20,152.8576,3465.9392,-10124.716800000002
