trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,代码,名称,最新价,涨跌幅,所属行业,首次封板时间,最后封板时间,炸板次数,连板数,涨停统计,成交额,换手率,流通市值,总市值,板上成交金额,封单金额,行业代码
20260331,000008.SZ,轨交设备,神州高铁,3.27,10.1,524434240.0,,8882291033.04,8882555013.6,5.96,212429415.0,93118,93118,0,2/2,2.0,U,000008,神州高铁,3.27,10.1,轨交设备,93118,93118,0,2.0,2/2,524434240.0,5.96,8882291033.04,8882555013.6,,212429415.0,BK1394.DC
20260331,000030.SZ,汽车零部件,富奥股份,5.56,10.1,276270288.0,,9290239834.2,9562148314.88,3.06,45705535.0,132700,132700,0,1/1,1.0,U,000030,富奥股份,5.56,10.1,汽车零部件,132700,132700,0,1.0,1/1,276270288.0,3.06,9290239834.2,9562148314.88,,45705535.0,BK0481.DC
20260331,000037.SZ,电力,深南电A,13.02,9.97,1019335312.0,,4412584113.0,7847968947.84,24.37,84228984.0,130945,130945,0,2/4,1.0,U,000037,深南电A,13.02,9.97,电力,130945,130945,0,1.0,2/4,1019335312.0,24.37,4412584113.0,7847968947.84,,84228984.0,BK0428.DC
20260331,000070.SZ,通信设备,特发信息,17.8,10.01,2662710048.0,,15818483565.6,16026136870.4,17.73,145646399.0,135048,135048,0,1/1,1.0,U,000070,特发信息,17.8,10.01,通信设备,135048,135048,0,1.0,1/1,2662710048.0,17.73,15818483565.6,16026136870.4,,145646399.0,BK0448.DC
20260331,000592.SZ,林业Ⅱ,平潭发展,12.78,9.98,5569520896.0,,24474881498.22,24688159850.88,23.25,187515764.0,93648,132657,6,3/5,2.0,U,000592,平潭发展,12.78,9.98,林业Ⅱ,93648,132657,6,2.0,3/5,5569520896.0,23.25,24474881498.22,24688159850.88,,187515764.0,BK1255.DC
20260331,000631.SZ,电力,顺发恒能,4.27,10.05,491622256.0,,9821000362.95,9821000341.6,5.01,71539255.0,92500,92500,0,1/1,1.0,U,000631,顺发恒能,4.27,10.05,电力,92500,92500,0,1.0,1/1,491622256.0,5.01,9821000362.95,9821000341.6,,71539255.0,BK0428.DC
20260331,000678.SZ,汽车零部件,襄阳轴承,12.64,10.01,306939840.0,,5809493114.08,5809493050.88,5.46,69257985.0,133015,133015,0,1/1,1.0,U,000678,襄阳轴承,12.64,10.01,汽车零部件,133015,133015,0,1.0,1/1,306939840.0,5.46,5809493114.08,5809493050.88,,69257985.0,BK0481.DC
20260331,000720.SZ,电网设备,新能泰山,5.46,10.08,982547648.0,,6860662377.66,6860662361.28,15.42,62507805.0,94703,94703,0,5/6,1.0,U,000720,新能泰山,5.46,10.08,电网设备,94703,94703,0,1.0,5/6,982547648.0,15.42,6860662377.66,6860662361.28,,62507805.0,BK0457.DC
20260331,000863.SZ,房地产开发,三湘印象,5.71,10.02,212506297.0,,6644244036.78,6741794533.28,3.26,54279260.0,94000,95806,1,1/1,1.0,U,000863,三湘印象,5.71,10.02,房地产开发,94000,95806,1,1.0,1/1,212506297.0,3.26,6644244036.78,6741794533.28,,54279260.0,BK0451.DC
20260331,000913.SZ,摩托车及,钱江摩托,16.67,10.03,549072944.0,,8670158685.0,8778313711.68,6.51,56337932.0,132624,140039,4,1/1,1.0,U,000913,钱江摩托,16.67,10.03,摩托车及,132624,140039,4,1.0,1/1,549072944.0,6.51,8670158685.0,8778313711.68,,56337932.0,BK1521.DC
20260331,000927.SZ,轨交设备,中国铁物,3.34,9.87,605001024.0,,20208170940.54,20208181237.76,3.07,107150616.0,93421,93421,0,3/5,1.0,U,000927,中国铁物,3.34,9.87,轨交设备,93421,93421,0,1.0,3/5,605001024.0,3.07,20208170940.54,20208181237.76,,107150616.0,BK1394.DC
20260331,000993.SZ,电力,闽东电力,16.31,9.98,608092064.0,,7172282899.32,7469188247.36,8.65,170002750.0,93412,93412,0,1/1,1.0,U,000993,闽东电力,16.31,9.98,电力,93412,93412,0,1.0,1/1,608092064.0,8.65,7172282899.32,7469188247.36,,170002750.0,BK0428.DC
20260331,001239.SZ,工程机械,永达股份,15.86,9.99,114433744.0,,1808040000.0,3806400000.0,6.53,62799573.0,100118,100118,0,1/1,1.0,U,001239,永达股份,15.86,9.99,工程机械,100118,100118,0,1.0,1/1,114433744.0,6.53,1808040000.0,3806400000.0,,62799573.0,BK0739.DC
20260331,002082.SZ,化学制药,万邦德,30.2,10.02,2008597952.0,,16708238244.4,18473009491.2,12.74,30816080.0,145042,145145,1,4/6,1.0,U,002082,万邦德,30.2,10.02,化学制药,145042,145145,1,1.0,4/6,2008597952.0,12.74,16708238244.4,18473009491.2,,30816080.0,BK0465.DC
20260331,002218.SZ,电力,拓日新能,6.93,10.0,2119477376.0,,9649319865.57,9792232369.92,22.45,81078893.0,93936,102921,4,1/1,1.0,U,002218,拓日新能,6.93,10.0,电力,93936,102921,4,1.0,1/1,2119477376.0,22.45,9649319865.57,9792232369.92,,81078893.0,BK0428.DC
20260331,002263.SZ,塑料,大东南,4.51,10.0,1969953744.0,,8471336401.0,8471404032.96,24.75,100264466.0,132045,132045,0,3/4,1.0,U,002263,大东南,4.51,10.0,塑料,132045,132045,0,1.0,3/4,1969953744.0,24.75,8471336401.0,8471404032.96,,100264466.0,BK0454.DC
20260331,002342.SZ,通用设备,巨力索具,14.4,10.01,2490062272.0,,13747536000.0,13824000000.0,18.45,181532995.0,94003,95130,1,1/1,1.0,U,002342,巨力索具,14.4,10.01,通用设备,94003,95130,1,1.0,1/1,2490062272.0,18.45,13747536000.0,13824000000.0,,181532995.0,BK0545.DC
20260331,002361.SZ,塑料,神剑股份,16.5,10.0,3149143536.0,,13350529236.0,15692077104.0,23.7,217816500.0,93057,142139,4,4/4,4.0,U,002361,神剑股份,16.5,10.0,塑料,93057,142139,4,4.0,4/4,3149143536.0,23.7,13350529236.0,15692077104.0,,217816500.0,BK0454.DC
20260331,002454.SZ,汽车零部件,松芝股份,9.24,10.0,131310485.0,,5792982102.6,5808093984.0,2.29,65169258.0,93057,93057,0,1/1,1.0,U,002454,松芝股份,9.24,10.0,汽车零部件,93057,93057,0,1.0,1/1,131310485.0,2.29,5792982102.6,5808093984.0,,65169258.0,BK0481.DC
