代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
601139.SH,深圳燃气,7.87,10.07,130831,144558,7,燃气Ⅱ,1,1/1
601808.SH,中海油服,20.42,10.02,95338,95338,0,油服工程,1,1/1
601857.SH,中国石油,13.15,10.04,103935,105920,1,炼化及贸,1,1/1
601866.SH,中远海发,3.25,10.17,131042,144327,3,航运港口,1,1/1
601872.SH,招商轮船,19.65,10.02,112455,145255,6,航运港口,1,1/1
601975.SH,招商南油,4.97,9.96,92500,94037,2,航运港口,1,1/1
603053.SH,成都燃气,11.33,10.0,130256,145414,4,燃气Ⅱ,1,1/1
603080.SH,新疆火炬,27.57,10.02,131452,145501,1,燃气Ⅱ,1,1/1
603139.SH,康惠股份,28.13,10.01,110709,110709,0,中药Ⅱ,1,1/1
603318.SH,水发燃气,9.7,9.98,92503,92503,0,燃气Ⅱ,1,1/1
603353.SH,和顺石油,50.97,9.99,93208,102308,9,炼化及贸,1,1/1
603393.SH,新天然气,41.0,9.39,112700,,11,燃气Ⅱ,1,1/1
603616.SH,韩建河山,8.17,9.96,93629,93629,0,水泥,1,1/1
603619.SH,中曼石油,43.99,10.0,93019,93246,2,油服工程,1,1/1
603689.SH,皖天然气,9.56,10.01,130135,143902,15,燃气Ⅱ,1,1/1
603706.SH,东方环宇,23.96,10.01,131936,131936,0,燃气Ⅱ,1,1/1
603727.SH,博迈科,21.79,9.99,111210,144358,11,油服工程,1,1/1
603778.SH,国晟科技,15.51,10.0,93616,144243,12,光伏设备,1,1/1
605169.SH,洪通燃气,15.37,10.02,93520,93520,0,燃气Ⅱ,1,1/1
605368.SH,蓝天燃气,9.41,10.06,130341,142853,10,燃气Ⅱ,1,1/1
688717.SH,艾罗能源,125.39,12.96,93154,,5,其他电源,1,1/1
920010.BJ,凯添燃气,17.53,29.95,112024,112024,0,燃气Ⅱ,1,1/1
920014.BJ,特瑞斯,17.81,30.0,130145,132012,3,燃气Ⅱ,1,1/1
920088.BJ,科力股份,89.18,30.0,103936,103936,0,油服工程,1,1/1
920158.BJ,长江能科,23.79,30.0,134003,145539,18,专用设备,1,1/1
920260.BJ,中寰股份,15.4,29.96,150000,150000,0,通用设备,1,1/1
920571.BJ,国航远洋,16.23,29.94,142351,144445,2,航运港口,1,1/1
