代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
600550.SH,保变电气,19.03,9.37,105933,,3,电网设备,1,1/1
600590.SH,泰豪科技,14.71,10.02,131124,131124,0,军工电子,1,1/1
600666.SH,奥瑞德,3.98,9.94,93458,135816,1,光学光电,1,1/1
600703.SH,三安光电,16.13,10.03,93001,93001,0,光学光电,1,1/1
600744.SH,华银电力,9.04,9.98,102625,102707,1,电力,1,1/1
600800.SH,渤海化学,4.81,10.07,93927,131242,2,炼化及贸,1,1/1
600828.SH,茂业商业,6.53,9.93,103617,103617,0,一般零售,1,1/1
600844.SH,金煤科技,3.65,9.94,111219,111219,0,化学原料,1,1/1
600875.SH,东方电气,42.21,10.01,93501,94622,1,其他电源,1,1/1
601179.SH,中国西电,18.11,10.02,101000,101000,0,电网设备,1,1/1
601727.SH,上海电气,9.46,10.0,95042,95042,0,其他电源,1,1/1
603001.SH,奥康国际,9.58,9.99,135823,135823,0,服装家纺,1,1/1
603058.SH,永吉股份,13.74,10.01,111745,111745,0,包装印刷,1,1/1
603067.SH,振华股份,45.87,10.0,134014,140259,2,化学原料,1,1/1
603337.SH,杰克科技,44.14,9.99,133146,133146,0,专用设备,1,1/1
603688.SH,石英股份,53.04,10.0,93155,93234,1,非金属材,1,1/1
603773.SH,沃格光电,39.67,10.01,93616,93616,0,光学光电,1,1/1
605098.SH,行动教育,51.26,10.0,95501,95501,0,教育,1,1/1
605268.SH,王力安防,12.67,9.98,92502,92502,0,家居用品,1,1/1
605298.SH,必得科技,49.81,10.0,131116,131116,0,轨交设备,1,1/1
688031.SH,星环科技-U,223.21,20.0,143901,144546,3,软件开发,1,1/1
688055.SH,龙腾光电,4.25,20.06,94122,145037,4,光学光电,1,1/1
688079.SH,美迪凯,13.82,19.97,101543,101543,0,光学光电,1,1/1
688809.SH,强一股份,387.9,17.52,100709,,2,半导体,1,1/1
920001.BJ,纬达光电,21.33,29.98,93633,93633,0,光学光电,1,1/1
920339.BJ,恒太照明,10.35,14.62,95157,,1,照明设备,1,1/1
