代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
603578.SH,三星新材,15.98,9.98,141434,141434,0,家电零部,1,1/1
603618.SH,杭电股份,18.15,10.0,104214,145359,4,电网设备,1,1/1
603629.SH,利通电子,58.52,10.0,104700,133233,6,消费电子,1,1/1
603738.SH,泰晶科技,21.78,10.0,133834,143852,4,元件,1,1/1
603897.SH,长城科技,30.64,10.02,135152,140722,4,电网设备,1,1/1
603950.SH,长源东谷,44.51,10.01,93029,93029,0,汽车零部件,1,1/1
605398.SH,新炬网络,33.41,10.01,93407,93407,0,IT服务Ⅱ,1,1/1
688028.SH,沃尔德,114.13,20.0,130229,133050,13,通用设备,1,1/1
688118.SH,普元信息,35.5,20.01,93431,93431,0,软件开发,1,1/1
688343.SH,云天励飞-U,110.26,20.0,105528,144219,14,IT服务Ⅱ,1,1/1
