代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
002536.SZ,飞龙股份,34.65,10.0,94254,112418,2,汽车零部件,1,1/1
002545.SZ,东方铁塔,29.96,9.99,135306,135306,0,农化制品,1,1/1
002554.SZ,惠博普,4.66,9.91,105645,105645,0,油服工程,1,1/1
002629.SZ,仁智股份,7.37,10.0,112842,112842,0,油服工程,1,1/1
002667.SZ,威领股份,23.35,9.99,94912,94912,0,专用设备,1,1/1
002828.SZ,贝肯能源,14.88,9.98,93000,93818,1,油服工程,1,1/1
002842.SZ,翔鹭钨业,45.72,10.01,94621,131330,7,小金属,1,1/1
002843.SZ,泰嘉股份,27.8,10.01,93027,93027,0,通用设备,1,1/1
002980.SZ,华盛昌,31.87,10.01,92500,92500,0,电网设备,1,1/1
003009.SZ,中天火箭,75.13,10.0,100212,101415,1,航天装备,1,1/1
300084.SZ,海默科技,13.45,19.98,145324,145324,0,专用设备,1,1/1
300139.SZ,晓程科技,79.78,20.01,141512,141824,2,贵金属,1,1/1
300157.SZ,新锦动力,8.39,20.03,130500,130500,0,通用设备,1,1/1
300164.SZ,通源石油,18.08,19.97,92500,93857,4,油服工程,1,1/1
300191.SZ,潜能恒信,44.23,19.99,103300,103300,0,油服工程,1,1/1
300731.SZ,科创新源,79.86,15.02,104000,,2,橡胶,1,1/1
300911.SZ,亿田智能,48.46,16.52,93239,,4,厨卫电器,1,1/1
300936.SZ,中英科技,50.0,12.36,103212,,1,元件,1,1/1
301158.SZ,德石股份,31.2,20.0,110503,110503,0,专用设备,1,1/1
301213.SZ,观想科技,90.1,20.01,94315,94315,0,军工电子,1,1/1
301302.SZ,华如科技,29.72,19.98,92500,92500,0,军工电子,1,1/1
301338.SZ,凯格精机,179.65,20.0,94536,103621,3,专用设备,1,1/1
301362.SZ,民爆光电,111.02,15.66,105106,,4,照明设备,1,1/1
600026.SH,中远海能,22.64,10.01,92504,135310,2,航运港口,1,1/1
600108.SH,亚盛集团,4.37,10.08,92502,92502,0,种植业,1,1/1
600118.SH,中国卫星,100.17,9.26,95656,,1,航天装备,1,1/1
600227.SH,赤天化,3.17,10.07,94724,94724,0,农化制品,1,1/1
600236.SH,桂冠电力,9.78,10.01,102851,130809,1,电力,1,1/1
600256.SH,广汇能源,6.47,10.03,132918,140942,1,炼化及贸,1,1/1
600259.SH,中稀有色,112.29,10.0,144726,145223,1,小金属,1,1/1
600301.SH,华锡有色,71.24,10.01,93426,94620,5,小金属,1,1/1
600339.SH,中油工程,4.66,9.91,92502,104432,2,油服工程,1,1/1
600367.SH,红星发展,23.55,10.0,92503,93803,2,化学原料,1,1/1
600435.SH,北方导航,18.87,10.03,143647,143647,0,地面兵装,1,1/1
600452.SH,涪陵电力,14.61,10.02,93034,94310,4,电力,1,1/1
600498.SH,烽火通信,56.71,10.01,93229,93229,0,通信设备,1,1/1
600547.SH,山东黄金,52.03,9.98,145226,,3,贵金属,1,1/1
600583.SH,海油工程,7.93,9.99,110229,110644,2,油服工程,1,1/1
600688.SH,上海石化,3.49,10.09,130440,130440,0,炼化及贸,1,1/1
600714.SH,金瑞矿业,19.76,10.02,92503,92503,0,化学原料,1,1/1
600722.SH,金牛化工,10.32,10.02,92502,92502,0,化学原料,1,1/1
600759.SH,洲际油气,6.83,9.98,92502,92502,0,油气开采,1,1/1
600871.SH,石化油服,3.53,9.97,92502,93917,3,油服工程,1,1/1
600938.SH,中国海油,39.46,10.01,112011,112011,0,油气开采,1,1/1
600961.SH,株冶集团,26.01,9.06,143736,,2,工业金属,1,1/1
600968.SH,海油发展,5.04,10.04,104942,104942,0,油服工程,1,1/1
600988.SH,赤峰黄金,43.91,9.99,143230,145300,2,贵金属,1,1/1
600989.SH,宝丰能源,26.32,9.99,112010,144640,13,化学原料,1,1/1
601069.SH,西部黄金,39.89,10.01,134813,134813,0,贵金属,1,1/1
601808.SH,中海油服,18.56,10.02,92504,133916,5,油服工程,1,1/1
601857.SH,中国石油,11.95,10.04,132636,141157,16,炼化及贸,1,1/1
601872.SH,招商轮船,17.86,9.98,142819,142819,0,航运港口,1,1/1
601898.SH,中煤能源,16.55,9.1,131838,,1,煤炭开采,1,1/1
601975.SH,招商南油,4.52,9.98,92501,112201,1,航运港口,1,1/1
603011.SH,合锻智能,28.28,10.0,131733,131733,0,专用设备,1,1/1
603083.SH,剑桥科技,113.74,10.0,131943,145328,3,通信设备,1,1/1
603115.SH,海星股份,30.91,10.0,130025,130025,0,工业金属,1,1/1
603257.SH,中国瑞林,73.07,10.0,131836,135918,9,工程咨询,1,1/1
603318.SH,水发燃气,8.82,9.98,93209,111215,1,燃气Ⅱ,1,1/1
603353.SH,和顺石油,46.34,9.99,93031,130701,3,炼化及贸,1,1/1
603393.SH,新天然气,37.48,10.01,142540,145104,7,燃气Ⅱ,1,1/1
603488.SH,展鹏科技,10.91,9.98,92505,92505,0,专用设备,1,1/1
603619.SH,中曼石油,39.99,10.01,92502,94747,2,油服工程,1,1/1
603629.SH,利通电子,64.37,10.0,100853,134426,1,消费电子,1,1/1
603727.SH,博迈科,19.81,9.99,110256,110256,0,油服工程,1,1/1
603738.SH,泰晶科技,23.96,10.01,130606,131603,5,元件,1,1/1
603861.SH,白云电器,20.49,9.98,132333,132333,0,电网设备,1,1/1
603897.SH,长城科技,33.7,9.99,94051,102115,5,电网设备,1,1/1
603950.SH,长源东谷,48.96,10.0,141755,141755,0,汽车零部件,1,1/1
605117.SH,德业股份,114.95,10.0,143019,145628,4,光伏设备,1,1/1
688297.SH,中无人机,59.7,19.71,100049,,1,航空装备,1,1/1
688307.SH,中润光学,60.02,19.99,143151,143151,0,计算机设,1,1/1
920088.BJ,科力股份,68.6,30.0,110150,110150,0,油服工程,1,1/1
