ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1554.DC,20260401,商业物业经营,小商品城,600415.SH,0.62,2.63,20379266.2,0.75,10,5,行业板块,东财三级行业,0.6666666666666666,5,1.7533333333333332,0.5,20.636666666666667
BK1553.DC,20260401,多业态零售,新华百货,600785.SH,0.42,1.89,8100673.1,1.27,12,3,行业板块,东财三级行业,0.8,9,1.512,1.016,24.6316
BK1552.DC,20260401,超市,家家悦,603708.SH,1.02,3.52,8096519.5,1.03,6,1,行业板块,东财三级行业,0.8571428571428571,5,3.017142857142857,0.8828571428571428,26.800285714285714
BK1551.DC,20260401,百货,友阿股份,002277.SZ,0.39,1.75,14348640.3,1.61,14,5,行业板块,东财三级行业,0.7368421052631579,9,1.2894736842105263,1.1863157894736842,22.71742105263158
BK1550.DC,20260401,贸易Ⅲ,凯瑞德,002072.SZ,0.64,4.44,16408720.3,2.61,10,4,行业板块,东财三级行业,0.7142857142857143,6,3.1714285714285717,1.8642857142857143,22.627714285714287
BK1549.DC,20260401,旅游零售Ⅲ,中国中免,601888.SH,1.34,1.45,15919346.3,1.03,2,0,行业板块,东财三级行业,1.0,2,1.45,1.03,30.898
BK1548.DC,20260401,综合电商,国联股份,603613.SH,0.35,2.54,3263228.7,0.57,2,1,行业板块,东财三级行业,0.6666666666666666,1,1.6933333333333334,0.37999999999999995,20.519666666666666
BK1547.DC,20260401,跨境电商,华凯易佰,300592.SZ,1.66,6.28,4887128.8,3.56,6,1,行业板块,东财三级行业,0.8571428571428571,5,5.382857142857143,3.051428571428571,27.899142857142856
BK1546.DC,20260401,电商服务,若羽臣,003010.SZ,1.88,7.59,4429574.2,2.62,6,2,行业板块,东财三级行业,0.75,4,5.6925,1.965,24.5955
BK1545.DC,20260401,特种纸,安妮股份,002235.SZ,1.52,4.38,7377863.7,2.4,12,1,行业板块,东财三级行业,0.9230769230769231,11,4.0430769230769235,2.2153846153846155,29.400000000000002
BK1544.DC,20260401,大宗用纸,岳阳林纸,600963.SH,0.29,2.33,10821844.8,1.27,9,2,行业板块,东财三级行业,0.8181818181818182,7,1.9063636363636365,1.039090909090909,25.221545454545456
BK1543.DC,20260401,娱乐用品,群兴玩具,002575.SZ,0.84,5.62,8582195.9,5.03,15,3,行业板块,东财三级行业,0.8333333333333334,12,4.683333333333334,4.191666666666667,27.027
BK1542.DC,20260401,文化用品,齐心集团,002301.SZ,2.04,2.91,4353784.8,1.07,5,0,行业板块,东财三级行业,1.0,5,2.91,1.07,31.407999999999998
BK1541.DC,20260401,卫浴制品,松霖科技,603992.SH,1.79,6.02,3971940.8,1.44,6,1,行业板块,东财三级行业,0.8571428571428571,5,5.159999999999999,1.2342857142857142,27.530142857142852
BK1540.DC,20260401,其他家居用品,张小泉,301055.SZ,1.55,9.42,20410596.4,2.09,18,6,行业板块,东财三级行业,0.75,12,7.0649999999999995,1.5675,24.6915
BK1539.DC,20260401,定制家居,我乐家居,603326.SH,1.1,4.62,9938107.6,1.42,12,3,行业板块,东财三级行业,0.8,9,3.696,1.136,25.2964
BK1538.DC,20260401,瓷砖地板,天振股份,301356.SZ,1.56,2.46,7595332.6,1.32,11,1,行业板块,东财三级行业,0.9166666666666666,10,2.255,1.21,28.661
BK1537.DC,20260401,成品家居,匠心家居,301061.SZ,1.29,3.09,12165424.5,1.25,16,1,行业板块,东财三级行业,0.9411764705882353,15,2.908235294117647,1.1764705882352942,29.439235294117644
BK1536.DC,20260401,综合包装,京华激光,603607.SH,0.69,1.76,1814786.8,2.02,5,1,行业板块,东财三级行业,0.8333333333333334,4,1.4666666666666668,1.6833333333333333,25.837
BK1535.DC,20260401,纸包装,大胜达,603687.SH,2.37,10.0,13340821.3,4.87,18,2,行业板块,东财三级行业,0.9,16,9.0,4.383,30.3876
BK1534.DC,20260401,印刷,鸿博股份,002229.SZ,1.29,2.97,2566486.9,5.4,4,1,行业板块,东财三级行业,0.8,3,2.3760000000000003,4.32,25.726200000000002
BK1533.DC,20260401,塑料包装,金富科技,003018.SZ,1.87,6.29,4286097.2,2.02,8,0,行业板块,东财三级行业,1.0,8,6.29,2.02,32.223
BK1532.DC,20260401,金属包装,华源控股,002787.SZ,0.35,1.66,6529597.7,1.69,5,2,行业板块,东财三级行业,0.7142857142857143,3,1.1857142857142857,1.207142857142857,22.01214285714286
BK1531.DC,20260401,商用载客车,宇通客车,600066.SH,0.26,3.85,10870884.1,4.8,2,2,行业板块,东财三级行业,0.5,0,1.925,2.4,15.943
BK1530.DC,20260401,商用载货车,中国重汽,000951.SZ,1.89,7.37,25175439.9,1.26,8,1,行业板块,东财三级行业,0.8888888888888888,7,6.551111111111111,1.1199999999999999,28.767888888888887
BK1529.DC,20260401,汽车电子电气系统,威迈斯,688612.SH,1.63,6.5,48774334.4,1.97,36,4,行业板块,东财三级行业,0.9,32,5.8500000000000005,1.773,29.013600000000004
BK1528.DC,20260401,其他汽车零部件,华达科技,603358.SH,1.4,4.38,36740979.2,2.08,51,5,行业板块,东财三级行业,0.9107142857142857,46,3.988928571428571,1.8942857142857144,28.91807142857143
BK1527.DC,20260401,轮胎轮毂,赛轮轮胎,601058.SH,2.43,7.15,26677351.8,1.66,20,0,行业板块,东财三级行业,1.0,20,7.15,1.66,32.491
BK1526.DC,20260401,底盘与发动机系统,华培动力,603121.SH,1.62,9.99,120625035.2,2.46,91,19,行业板块,东财三级行业,0.8272727272727273,72,8.264454545454546,2.035090909090909,27.36409090909091
BK1525.DC,20260401,车身附件及饰件,金钟股份,301133.SZ,2.05,8.16,53685236.8,1.46,41,1,行业板块,东财三级行业,0.9761904761904762,40,7.965714285714285,1.4252380952380952,31.778904761904762
BK1524.DC,20260401,汽车综合服务,中国汽研,601965.SH,0.95,2.32,4083889.4,1.49,3,2,行业板块,东财三级行业,0.6,1,1.392,0.894,18.7422
BK1523.DC,20260401,汽车经销商,国机汽车,600335.SH,0.35,0.67,2304323.9,0.99,4,1,行业板块,东财三级行业,0.8,3,0.536,0.792,24.3706
BK1522.DC,20260401,其他运输设备,绿通科技,301322.SZ,-0.46,2.24,8397238.3,2.36,2,8,行业板块,东财三级行业,0.2,-6,0.44800000000000006,0.472,6.046
BK1521.DC,20260401,摩托车,涛涛车业,301345.SZ,0.27,6.87,16015091.4,2.02,5,4,行业板块,东财三级行业,0.5555555555555556,1,3.816666666666667,1.1222222222222222,17.735444444444443
