代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
600397.SH,江钨装备,19.99,10.02,105402,142314,7,专用设备,1,1/1
600470.SH,六国化工,8.37,9.99,95204,100428,1,农化制品,1,1/1
600482.SH,中国动力,39.26,10.0,100753,101420,2,其他电源,1,1/1
600545.SH,卓郎智能,4.15,10.08,93040,141222,2,专用设备,1,1/1
600590.SH,泰豪科技,16.18,9.99,93025,93025,0,军工电子,1,1/1
600645.SH,中源协和,30.9,10.0,95927,135545,7,生物制品,1,1/1
600676.SH,交运股份,8.45,10.03,95150,95150,0,汽车服务,1,1/1
600722.SH,金牛化工,13.53,10.0,132717,132932,2,化学原料,1,1/1
600761.SH,安徽合力,22.52,10.01,143206,143206,0,工程机械,1,1/1
600821.SH,金开新能,8.6,9.97,93138,93202,1,电力,1,1/1
600825.SH,新华传媒,6.6,10.0,93033,100257,2,出版,1,1/1
601567.SH,三星医疗,29.41,9.99,92503,92503,0,电网设备,1,1/1
601616.SH,广电电气,6.16,10.0,93707,93707,0,电网设备,1,1/1
601789.SH,宁波建工,5.49,10.02,130023,135205,2,房屋建设,1,1/1
601868.SH,中国能建,2.89,9.89,102229,110005,2,基础建设,1,1/1
603063.SH,禾望电气,31.9,10.0,104619,110355,2,风电设备,1,1/1
603097.SH,江苏华辰,41.05,9.99,101542,101542,0,电网设备,1,1/1
603158.SH,腾龙股份,10.96,10.04,100640,100640,0,汽车零部件,1,1/1
603269.SH,海鸥股份,16.94,10.0,103004,141622,15,通用设备,1,1/1
603285.SH,键邦股份,37.76,9.99,104249,104249,0,化学制品,1,1/1
603316.SH,诚邦股份,16.94,10.0,94258,94258,0,基础建设,1,1/1
603716.SH,塞力医疗,23.18,10.01,94222,94222,0,医药商业,1,1/1
603778.SH,国晟科技,17.11,10.03,101706,131836,1,光伏设备,1,1/1
603880.SH,南卫股份,6.96,9.95,130415,142006,1,医疗器械,1,1/1
605268.SH,王力安防,13.94,10.02,92502,92502,0,家居用品,1,1/1
605286.SH,同力天启,42.49,9.99,93251,94236,2,专用设备,1,1/1
605399.SH,晨光新材,16.64,9.98,143051,143051,0,化学制品,1,1/1
688176.SH,亚虹医药-U,16.78,20.03,100727,104657,1,化学制药,1,1/1
920375.BJ,派诺科技,16.88,18.54,102056,,1,电网设备,1,1/1
