ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002059.SZ,20260327,5.08,1.3478,3.0683,0.79,,,4.0035,9.2332,17.4873,,,101243.4813,98304.6058,43180.4152,514316.885,499387.3975
301006.SZ,20260327,16.76,3.367,5.2765,0.76,29.473,26.4586,1.8279,6.5122,6.1028,1.1789,1.1789,13928.0,8608.61,5493.2,233433.28,144280.3036
002793.SZ,20260327,4.78,2.2352,3.6044,1.16,,,3.5792,1.9637,2.0879,,,108758.8486,108593.5344,67342.1633,519867.2963,519077.0944
688025.SH,20260327,224.2,7.8424,12.0664,1.63,160.6068,75.9527,9.2709,14.6577,10.2967,0.1868,0.1868,9504.9423,9504.9423,6177.6269,2131008.0637,2131008.0637
920252.BJ,20260327,29.03,10.8843,18.1621,2.67,425.5673,308.5347,11.2855,7.5582,7.4671,0.2032,0.2032,10265.0665,6823.1239,4088.9845,297994.8805,198075.2868
002830.SZ,20260327,21.35,2.878,4.3004,0.67,69.9784,70.3155,4.3576,4.2246,4.2839,1.1538,1.1538,13334.0,6685.25,4474.0,284680.9,142730.0875
601515.SH,20260327,4.27,3.6005,7.1609,2.0,,,1.571,5.7702,6.3564,,,192447.0671,192447.0671,96761.9004,821748.9765,821748.9765
002696.SZ,20260327,6.95,2.0998,3.7904,0.58,,46.7795,1.7541,0.7821,0.6169,,,34636.2262,33448.6948,18529.3967,240721.7721,232468.4289
002900.SZ,20260327,11.67,3.013,5.0858,1.26,62.9203,,1.9394,3.26,4.2212,1.7138,1.7138,31635.455,16112.24,9545.4275,369185.7599,188029.8408
002741.SZ,20260327,18.79,3.0281,4.3956,0.99,,,4.5444,3.3749,3.1208,,,46502.231,42635.8415,29371.8495,873776.9205,801127.4618
603656.SH,20260327,22.25,0.8577,1.5178,0.55,189.5952,133.1315,3.0896,7.2198,7.021,0.2212,0.2212,18294.5358,18294.5358,10337.7764,407053.4216,407053.4216
600844.SH,20260327,4.99,11.8467,16.6055,0.68,,,36.3047,6.5883,5.826,,,101652.424,82273.0634,58695.4202,507245.5958,410542.5864
600033.SH,20260327,3.7,1.2392,2.8105,0.73,13.0054,12.5493,0.8259,3.3558,3.3233,2.7027,2.7027,274440.0,274440.0,121003.1499,1015428.0,1015428.0
688398.SH,20260327,24.89,0.8394,1.5832,0.69,54.1304,167.3906,4.0584,4.4743,4.1983,0.3997,0.3997,16781.4101,16781.4101,8897.6361,417689.2974,417689.2974
300498.SZ,20260327,16.91,0.5973,0.6613,0.67,12.1899,21.4933,2.7391,1.073,1.0831,2.9477,2.9477,665392.7263,595254.1331,537591.0976,11251791.0017,10065747.3907
601168.SH,20260327,25.3,1.926,2.7885,0.75,16.5509,16.5509,3.2855,0.9774,0.9774,3.9526,4.1107,238300.0,238300.0,164587.9952,6028990.0,6028990.0
301388.SZ,20260327,33.32,8.9854,11.0554,0.72,222.8913,151.4877,3.495,7.2862,6.9607,0.3001,0.3001,10244.76,2735.6588,2223.4235,341355.4032,91152.1512
688133.SH,20260327,20.26,1.6481,2.2959,0.73,258.3972,,1.2026,1.1554,1.3247,0.3455,0.3455,16443.6977,16443.6977,11804.1659,333149.3154,333149.3154
002648.SZ,20260327,27.78,2.1735,4.3844,1.0,17.6213,17.6213,2.789,2.0314,2.0314,1.7934,1.7934,336864.569,336648.2485,166886.0266,9358097.7268,9352088.3433
920576.BJ,20260327,66.04,3.8604,15.093,1.59,118.5097,326.2823,16.1129,13.7456,13.5505,0.3028,0.3028,10895.0,10712.7654,2740.0654,719505.8,707471.027
603151.SH,20260327,16.66,1.5758,3.383,1.2,56.826,25.0777,2.1008,1.1208,0.5623,1.1929,1.1929,17098.9,17098.9,7964.78,284867.674,284867.674
002785.SZ,20260327,38.67,2.2276,2.6975,0.75,,,9.8747,6.8612,6.7296,,,22661.9695,19349.5023,15978.6662,876338.3606,748245.2539
300209.SZ,20260327,10.21,13.2079,14.2145,1.44,167.0441,129.0464,9.5687,24.5167,80.5079,,,92863.6126,71187.6961,66146.447,948137.4846,726826.3772
600037.SH,20260327,7.48,1.2928,2.085,0.91,,303.397,0.8193,4.4986,4.6899,0.361,0.361,139177.7884,139177.7884,86298.0171,1041049.8572,1041049.8572
920262.BJ,20260327,19.38,1.2482,2.1322,0.53,47.7429,34.1936,3.7291,2.5976,2.2321,1.3892,0.3969,6911.4185,3118.5407,1825.5988,133943.2905,60437.3188
002247.SZ,20260327,2.88,2.9948,3.7435,0.51,11.2408,61.8252,3.6825,2.9187,3.0666,,,85087.0049,64354.0672,51484.5522,245050.5741,185339.7135
688232.SH,20260327,22.06,0.4722,1.3067,0.63,34.7723,202.7061,1.3131,3.3094,3.8751,1.6319,1.6319,32198.1975,32198.1975,11634.5487,710292.2369,710292.2369
601689.SH,20260327,57.79,1.1882,2.856,0.7,36.1378,36.1378,4.1675,3.395,3.395,0.8981,0.8981,173783.558,173783.558,72300.1111,10042951.8168,10042951.8168
300705.SZ,20260327,13.96,2.6276,3.6192,1.41,13.6307,14.8912,2.6495,2.3831,2.2877,2.2011,2.2011,50029.1126,36888.7969,26782.0681,698406.4119,514967.6047
002624.SZ,20260327,18.22,2.0182,2.7424,0.87,,,4.9904,6.3453,5.1119,1.2375,1.2375,193996.8404,182773.3041,134502.2225,3534622.4321,3330129.6007
688057.SH,20260327,12.01,0.4428,0.873,0.53,24.2236,34.526,1.0452,8.1042,9.7985,2.0816,2.0816,27600.0,27600.0,14000.8,331476.0,331476.0
600310.SH,20260327,6.6,2.8995,5.9161,0.18,,,3.5208,2.6054,2.6054,0.4545,0.4545,146571.0722,146571.0722,71835.2412,967369.0765,967369.0765
603587.SH,20260327,12.08,0.4612,2.0671,0.83,18.8695,21.9824,1.5885,2.5811,2.6629,4.0908,4.0908,47409.2787,47409.2787,10577.9687,572704.0867,572704.0867
300187.SZ,20260327,5.47,2.1478,4.0502,0.72,35.9298,31.1493,3.2709,4.6455,4.5643,3.053,3.053,64562.2165,64213.1317,34052.4694,353155.3243,351245.8304
300774.SZ,20260327,17.56,6.4269,9.3645,1.07,88.2336,88.2336,4.8402,7.0935,7.0935,1.139,1.139,40876.366,19488.0376,13374.6417,717788.987,342209.9403
000933.SZ,20260327,30.52,2.0377,3.0286,0.72,17.1369,17.1369,2.794,1.6644,1.6644,1.6273,1.6273,224900.4399,224742.0084,151211.3342,6863961.4257,6859126.0964
600396.SH,20260327,8.99,25.4767,56.7341,1.51,156.2657,207.4188,9.7999,2.9724,3.0086,,,147270.6817,147270.6817,66132.6238,1323963.4285,1323963.4285
920008.BJ,20260327,25.58,1.4965,1.4965,0.43,32.4225,76.2361,4.9516,5.8467,9.0666,,,6375.0,3359.8721,3359.8721,163072.5,85945.5283
300411.SZ,20260327,10.05,0.931,0.9957,0.53,326.0125,640.3466,4.2142,7.8234,8.9731,,,40652.0007,30911.55,28903.7063,408552.607,310661.0775
000419.SZ,20260327,5.81,1.4921,2.6803,1.0,21.0187,24.5795,0.903,1.6459,1.5857,2.5818,2.5818,54358.2655,54358.2655,30261.0171,315821.5226,315821.5226
002654.SZ,20260327,14.45,6.2365,8.1947,0.78,194.7316,213.5185,7.8048,2.5063,2.2058,,,84530.2544,84524.2544,64326.429,1221462.1761,1221375.4761
300470.SZ,20260327,36.0,1.3122,1.7108,0.43,19.0764,18.7264,2.7977,4.7791,4.3857,2.7778,2.7778,20796.1737,19730.9685,15133.942,748662.2532,710314.866
688573.SH,20260327,19.82,3.5928,3.5928,0.73,,,6.3711,3.1157,7.4039,,,9775.4388,5321.6225,5321.6225,193749.197,105474.558
600513.SH,20260327,25.61,9.2967,15.4676,2.2,86.8647,,5.4759,3.3838,2.8135,0.3475,0.3475,28545.627,28545.627,17157.1454,731053.5075,731053.5075
603706.SH,20260327,19.95,0.5522,1.7717,0.61,19.133,17.6561,2.2765,2.6171,2.5478,4.5113,4.5113,18938.2714,18938.2714,5902.231,377818.5144,377818.5144
300672.SZ,20260327,170.0,4.7153,6.6234,0.72,379.883,1068.5825,9.0708,18.66,18.9479,0.1756,0.1756,21710.2452,21033.7661,14974.3253,3690741.684,3575740.237
603979.SH,20260327,57.15,1.5114,2.623,0.59,22.5085,15.8885,3.4153,3.5856,2.7625,0.7874,0.7874,62378.8486,62378.8486,35943.9955,3564951.1975,3564951.1975
300603.SZ,20260327,11.49,11.3,12.2052,0.86,206.4363,,3.8047,6.7784,6.4039,,,46479.8231,37393.1204,34619.7847,534053.1674,429646.9534
600885.SH,20260327,28.2,0.6563,0.8844,0.58,26.7576,23.8307,3.6076,3.0946,2.7027,1.2304,1.2304,154759.4313,154759.4313,114837.8021,4364215.9627,4364215.9627
600071.SH,20260327,18.8,0.7164,1.4129,0.63,393.7066,84.2582,10.5057,3.1488,3.2808,,,28157.3889,28157.3889,14277.0761,529358.9113,529358.9113
601599.SH,20260327,3.97,1.7749,2.3074,0.69,38.3477,38.2449,3.0335,1.5154,1.4363,,,116054.2453,116054.2453,89272.4964,460735.3538,460735.3538
603043.SH,20260327,15.81,0.4839,1.5073,0.78,18.4275,18.4275,2.2841,1.6709,1.6709,3.6615,3.6615,56877.0805,56395.5805,18107.1261,899226.6427,891614.1277
301227.SZ,20260327,37.12,1.9084,3.0241,0.46,,,2.1554,6.2395,5.6256,,,9523.05,5412.3,3415.5625,353495.616,200904.576
603188.SH,20260327,4.86,2.9006,4.1226,1.02,,,3.6114,3.9517,3.835,,,57017.0,57017.0,40117.0,277102.62,277102.62
300032.SZ,20260327,6.12,7.3071,8.7497,0.54,,,7.1163,3.2914,2.9878,,,80316.9608,80316.9608,67074.2895,491539.8001,491539.8001
688755.SH,20260327,37.27,1.1216,1.1216,0.74,41.339,55.0411,2.6391,4.7472,4.4614,0.2683,0.2683,8800.0,1760.0,1760.0,327976.0,65595.2
603978.SH,20260327,25.69,7.5468,11.91,1.62,,,3.5851,2.1155,1.7861,,,21109.4299,21109.4299,13376.0405,542301.2541,542301.2541
002272.SZ,20260327,17.66,12.4963,13.5339,0.92,,,5.7377,5.3621,5.1636,,,48487.73,38649.2848,35686.0928,856293.3118,682546.3696
601668.SH,20260327,4.93,0.4043,0.9558,0.59,4.4105,4.5607,0.4225,0.0931,0.0961,5.5071,5.5071,4132039.0444,4132039.0444,1747666.3119,20370952.4889,20370952.4889
002297.SZ,20260327,10.8,2.7966,3.6121,0.75,,,2.9417,8.6862,6.7687,,,57310.4819,57310.4819,44371.194,618953.2045,618953.2045
601163.SH,20260327,13.9,0.4101,1.164,0.67,10.0846,12.3347,0.8109,1.0949,1.1273,3.8129,3.8129,80000.0,80000.0,28183.215,1112000.0,1112000.0
688031.SH,20260327,143.22,5.3161,7.8543,0.69,,,20.1146,38.7663,38.7663,,,12113.5916,12113.5916,8198.9876,1734908.589,1734908.589
000417.SZ,20260327,6.81,0.9169,1.4799,0.39,27.8685,34.4691,1.1288,0.7549,0.7804,1.6153,1.6153,77988.42,77902.7451,48263.6984,531101.1402,530517.6941
688143.SH,20260327,59.12,8.2847,10.7259,1.14,424.355,327.6211,5.6488,23.0185,19.1306,0.0783,0.0783,12878.0802,12237.4426,9452.2576,761352.1014,723477.6065
003032.SZ,20260327,6.3,0.9152,1.295,0.46,,,2.0227,10.3207,7.5929,,,40244.75,27621.9885,19520.7308,253541.925,174018.5276
600368.SH,20260327,3.92,0.7824,1.6261,0.67,9.0369,9.8571,0.8803,4.038,4.0652,3.3418,3.3418,160965.3858,160965.3858,77449.649,630984.3123,630984.3123
003023.SZ,20260327,22.2,1.8596,3.7861,0.67,21.3398,28.5738,1.5108,1.7968,1.997,1.8018,1.8018,10534.16,10510.2114,5162.1671,233858.352,233326.6931
920476.BJ,20260327,19.91,0.9281,1.2621,0.51,40.2549,40.2549,3.7768,4.6868,4.6868,0.7175,0.7175,8517.98,8062.9983,5929.0883,169592.9818,160534.2962
002868.SZ,20260327,38.07,0.7855,1.1756,0.72,,,93.6492,11.4536,11.4536,,,15541.5837,10700.2504,7149.5602,591668.0915,407358.5327
002527.SZ,20260327,13.57,1.4722,1.7267,0.88,,,7.1904,2.68,2.4014,,,66306.1291,52928.0328,45125.1531,899774.1719,718233.4051
002133.SZ,20260327,3.49,1.8869,2.7875,0.71,,,0.9315,0.5811,0.5201,1.414,1.414,77414.4175,76987.0201,52112.7811,270176.3171,268684.7001
920395.BJ,20260327,9.88,0.5654,0.9403,0.8,26.0156,36.6527,6.2988,9.4678,8.9051,1.8265,1.8265,15258.5704,10474.3564,6298.2784,150754.6756,103486.6412
001338.SZ,20260327,13.18,3.1784,6.5558,1.14,22.0868,19.8806,1.7764,1.5443,1.5779,2.2762,2.2762,50173.0834,50173.0834,24325.2607,661281.2392,661281.2392
002457.SZ,20260327,11.0,2.2204,3.0227,0.55,13.702,17.8412,1.4874,1.3021,1.381,1.4408,1.4408,33348.68,33332.1649,24485.3395,366835.48,366653.8139
000510.SZ,20260327,14.86,9.6918,10.8053,0.96,,,7.8077,4.7309,5.4074,,,64854.3589,60666.4817,54414.8214,963735.7733,901503.9181
601231.SH,20260327,33.14,1.3308,4.6263,0.81,47.9127,42.7179,3.5945,1.3046,1.3375,0.636,0.636,238910.5078,238910.5078,68725.7476,7917494.2285,7917494.2285
600207.SH,20260327,6.76,11.5114,25.2963,1.68,,,3.079,1.697,2.2083,,,108931.2554,108931.2554,49570.4638,736375.2865,736375.2865
600226.SH,20260327,4.81,1.5721,2.5463,0.66,75.516,75.0124,3.9591,10.7198,8.4743,,,297438.1224,297438.1224,183637.1575,1430677.3687,1430677.3687
688161.SH,20260327,30.7,1.1895,6.2063,2.27,54.8823,46.0547,2.9636,8.4531,7.9782,0.8735,0.8735,40000.0,40000.0,7666.6667,1228000.0,1228000.0
301381.SZ,20260327,19.34,0.9964,1.644,0.65,36.4452,34.1576,2.9316,0.7594,0.6691,1.2927,1.2927,40345.82,19546.82,11846.99,780288.1588,378035.4988
000069.SZ,20260327,2.2,0.5032,1.0136,0.57,,,0.3854,0.325,0.42,,,803775.8053,689860.1781,342477.7122,1768306.7717,1517692.3918
601360.SH,20260327,10.77,0.7891,1.9168,0.57,,,2.5683,9.4852,8.9673,1.857,1.857,699955.7879,699955.7879,288153.2133,7538523.8357,7538523.8357
600109.SH,20260327,8.36,0.4509,0.7118,0.57,18.546,12.506,0.8885,4.6483,3.6337,1.4268,1.4268,370536.491,370536.491,234723.0305,3097685.0648,3097685.0648
001203.SZ,20260327,42.86,3.6684,10.2226,1.04,87.4633,96.5865,9.8412,17.099,16.8891,0.4496,0.4496,153308.0435,131531.6393,47199.8855,6570782.7444,5637446.0604
000955.SZ,20260327,4.95,2.188,2.8972,0.64,,,4.1107,5.0959,5.7573,,,53839.5,53811.1475,40639.5974,266505.525,266365.1801
600527.SH,20260327,2.62,8.9638,12.7837,0.95,119.1734,162.4405,2.1973,8.3902,8.4947,1.8916,1.8916,173176.0902,173176.0902,121428.8896,453721.3563,453721.3563
002719.SZ,20260327,9.17,3.8326,4.7573,0.57,,,8.3098,2.5139,2.5675,,,17413.9457,16186.1095,13039.8465,159685.8821,148426.6241
688772.SH,20260327,16.5,2.3084,3.8437,1.02,43.4085,39.5693,2.6193,1.6187,1.2976,1.8017,1.8017,113218.5704,113218.5704,67996.5631,1868106.4116,1868106.4116
301209.SZ,20260327,88.29,0.7673,2.1403,0.73,175.2278,165.458,12.9544,18.4964,18.6756,0.1618,0.1618,11200.0,9568.3,3430.0,988848.0,844785.207
000008.SZ,20260327,2.7,0.8511,1.3978,0.49,,,2.5021,3.5227,3.4452,,,271637.7683,271629.6952,165387.8495,733421.9744,733400.177
300134.SZ,20260327,10.2,0.8646,1.7909,0.6,,,2.0549,3.3691,3.3209,,,76749.8006,71241.8006,34394.843,782847.9661,726666.3661
301138.SZ,20260327,35.02,1.6384,3.4032,0.86,41.502,35.6036,3.7688,6.5072,5.6594,0.2856,1.7133,12000.0,6856.014,3300.74,420240.0,240097.6103
603323.SH,20260327,4.89,1.4303,1.6543,0.77,5.0749,4.8315,0.5202,2.3646,2.3552,5.1868,5.1868,201854.1437,201854.1437,174520.0056,987066.7627,987066.7627
300528.SZ,20260327,16.09,1.7707,4.4782,0.78,,,11.3454,9.1682,8.3473,,,37260.8054,37260.8054,14733.1068,599526.3589,599526.3589
000691.SZ,20260327,8.41,1.7581,2.0324,0.87,,,,9.2054,9.1195,,,48490.5,32327.0,27962.8405,407805.105,271870.07
002551.SZ,20260327,3.58,1.548,1.8177,0.51,135.844,,1.1678,2.0901,2.5243,0.2232,0.2232,84549.4578,61118.6722,52050.1888,302687.0589,218804.8465
301361.SZ,20260327,37.5,11.9559,12.1437,0.89,45.2201,45.2201,3.5612,15.0466,15.0466,0.448,0.448,11633.6,3044.4,2997.31,436260.0,114165.0
000096.SZ,20260327,10.28,1.8572,4.0419,0.7,55.9819,47.4612,1.8865,2.7449,3.9727,0.7296,0.7296,52800.0,51084.8,23472.9623,542784.0,525151.744
300698.SZ,20260327,34.56,1.3201,2.4551,0.54,112.1113,108.2874,8.9953,8.2568,6.3226,,,13400.0,11854.5943,6374.089,463104.0,409694.779
002896.SZ,20260327,77.1,3.964,7.5146,0.75,208.8466,208.0673,12.6776,15.519,15.1577,0.2594,0.2594,19652.267,19652.267,10366.8077,1515189.7857,1515189.7857
000767.SZ,20260327,5.09,17.3113,33.3119,2.04,488.2447,23.963,2.4969,0.9395,0.9802,,,307694.2219,291224.6436,151341.3216,1566163.5895,1482333.4359
600123.SH,20260327,6.99,3.3928,6.2224,0.73,14.3489,481.0639,0.6515,0.8804,1.1238,2.1459,2.1459,147324.0021,147324.0021,80329.8021,1029794.7747,1029794.7747
000631.SZ,20260327,3.93,1.629,5.6926,1.66,106.476,94.8493,1.6473,28.8586,20.3039,,,230000.0085,230000.0085,65816.8233,903900.0334,903900.0334
300602.SZ,20260327,30.32,2.5478,3.3955,0.67,93.3987,47.512,4.4444,3.5068,2.834,0.1249,0.1249,58186.3431,39540.3873,29669.0882,1764209.9228,1198864.5429
002097.SZ,20260327,9.94,1.0793,1.5924,0.59,146.3334,79.2269,2.2757,1.5005,1.5234,0.2012,0.2012,107461.7264,107269.9139,72703.7151,1068169.5604,1066262.9442
603669.SH,20260327,4.51,2.0131,4.6263,0.91,,,4.8202,8.565,7.554,,,72124.6136,72124.6136,31383.7305,325282.0073,325282.0073
300826.SZ,20260327,16.38,1.2735,2.2148,0.64,256.7976,185.7299,1.9546,4.3595,4.1792,0.1694,0.1694,17633.4698,16957.9638,9750.9284,288836.2353,277771.447
688598.SH,20260327,23.84,1.7853,2.0294,0.69,,,1.2758,9.2173,6.0139,,,20757.3116,20357.5616,17909.3654,494854.3085,485324.2685
688266.SH,20260327,100.69,1.9486,2.9751,1.37,,,24.6177,50.0108,32.7948,,,26470.8186,26470.8186,17337.3251,2665346.7248,2665346.7248
603195.SH,20260327,41.3,0.0821,0.4866,0.59,17.4773,18.7246,4.7719,4.4364,4.5459,4.1534,4.1534,180790.9538,180066.4324,30389.5009,7466666.3919,7436743.6581
603200.SH,20260327,58.98,3.6542,7.4629,0.97,240.9505,90.7794,9.5345,20.2931,21.1502,0.1526,0.1526,17548.0103,17548.0103,8592.3487,1034981.6475,1034981.6475
920237.BJ,20260327,19.6,1.0594,2.9225,0.95,23.1248,40.9151,3.2392,4.4371,4.8519,1.1774,1.1774,8639.28,8475.7725,3072.3173,169329.888,166125.141
601366.SH,20260327,4.18,0.8722,1.451,0.57,143.1886,257.2757,0.9628,0.5241,0.544,0.4366,0.4366,93306.0765,93306.0765,56085.6409,390019.3998,390019.3998
600588.SH,20260327,11.79,0.7464,1.4269,0.66,,,5.438,4.4016,4.4767,,,341699.7409,341699.7409,178747.6627,4028639.9452,4028639.9452
002855.SZ,20260327,12.21,2.233,6.1345,0.99,,,9.2,2.218,1.8326,,,24641.9682,24622.7232,8962.7232,300878.4317,300643.4503
002865.SZ,20260327,71.91,5.4341,8.5849,0.69,,,4.4658,2.2491,3.0118,,,31126.6052,22486.5792,14233.5972,2238314.1799,1617009.9103
002012.SZ,20260327,6.76,4.335,5.5514,1.21,99.7263,99.7263,2.0306,5.0423,5.0423,0.0592,0.0592,46762.547,46762.547,36515.7553,316114.8177,316114.8177
000785.SZ,20260327,2.48,0.962,2.9571,0.77,20.0723,35.4329,0.7491,1.1911,1.2212,,,622704.8814,589759.3464,191866.1216,1544308.1059,1462603.1791
001328.SZ,20260327,33.18,1.7514,1.7514,0.78,35.4433,31.8929,3.9096,3.6618,3.2918,2.2604,2.2604,17217.38,4603.12,4603.12,571272.6684,152731.5216
603823.SH,20260327,15.46,0.9283,2.918,0.98,36.5619,38.3939,2.6491,2.6783,2.8614,0.9702,0.9702,41636.7704,41636.7704,13245.6097,643704.4704,643704.4704
002371.SZ,20260327,452.98,0.8016,1.4956,0.82,58.4102,52.2077,9.1097,11.0039,8.9254,0.1726,0.1726,72483.2616,72425.3264,38816.4662,32833467.8396,32807224.3527
601669.SH,20260327,5.93,2.1602,3.4914,0.53,8.502,9.5626,0.7104,0.1612,0.1579,2.1408,2.1408,1722615.9334,1307152.585,808778.7421,10215112.4851,7751414.8291
920212.BJ,20260327,11.45,0.9005,1.5768,0.61,69.2322,115.8348,2.8646,2.4451,2.4349,0.524,0.524,10610.0,5160.2263,2946.7727,121484.5,59084.5911
301310.SZ,20260327,36.31,1.7389,2.0266,0.64,42.6496,43.237,2.1703,1.8725,1.3961,1.6453,1.6453,13655.444,5024.416,4311.1818,495829.1716,182436.545
002225.SZ,20260327,5.25,1.532,1.8111,0.52,45.0627,56.8682,1.4765,1.1722,1.1342,0.8193,0.8193,115923.9147,97417.6845,82404.2209,608600.5522,511442.8436
002644.SZ,20260327,8.57,1.0204,2.7159,0.82,72.8541,74.0756,2.4021,4.4646,4.8857,0.14,0.14,51065.7,51065.7,19185.9464,437633.049,437633.049
301296.SZ,20260327,7.79,0.8119,1.9313,0.97,17.9989,26.0271,1.2017,1.9394,1.3226,0.7303,0.7303,42478.5972,42477.6222,17857.6954,330908.2722,330900.6769
002998.SZ,20260327,8.07,2.0925,3.1961,0.64,33.917,76.0395,1.7267,1.2063,1.0651,7.6647,5.9542,35209.2361,26776.8833,17531.0461,284138.5353,216089.4482
603227.SH,20260327,9.39,3.636,6.5443,0.83,19.9797,19.9797,1.949,1.8087,1.8087,2.1299,2.1299,107169.2689,107169.2689,59543.5444,1006319.435,1006319.435
603368.SH,20260327,16.77,0.8845,1.1863,0.76,7.7921,8.4891,0.8681,0.3145,0.318,4.4778,4.4778,39721.1355,39721.1355,29617.856,666123.4423,666123.4423
002292.SZ,20260327,7.71,2.0513,2.4609,0.68,,,3.8612,4.1987,4.3993,,,147869.9697,101786.8772,84843.6651,1140077.4664,784776.8232
000736.SZ,20260327,4.99,0.9902,2.0697,0.87,,,2.9881,0.2037,0.178,,,74709.8401,74709.8401,35741.9096,372802.1021,372802.1021
002480.SZ,20260327,6.23,2.1291,3.0224,0.87,,,4.9689,1.9298,2.5717,,,76916.867,76771.7946,54081.2742,479192.0814,478288.2804
002026.SZ,20260327,12.88,0.93,1.4622,0.54,18.9118,17.1745,1.5106,2.5548,2.7744,1.0093,1.0093,44053.1939,44049.3914,28016.1323,567405.1374,567356.1612
688249.SH,20260327,28.08,1.2071,1.7807,0.65,80.0523,80.0523,2.5897,5.1788,5.1788,0.3449,0.3449,200759.1697,118821.8236,80548.6055,5637317.4852,3336516.8067
002412.SZ,20260327,6.55,2.0507,3.5718,0.95,14.965,19.1607,1.4579,3.2813,3.1352,,,50320.0,49784.5,28583.8811,329596.0,326088.475
601777.SH,20260327,9.75,0.6081,1.463,0.97,1101.5434,826.2672,4.2167,6.2657,4.8088,,,452110.0071,452110.0071,187904.5289,4408072.5692,4408072.5692
920699.BJ,20260327,37.55,0.5825,0.9632,0.6,21.0489,26.3802,4.9945,4.108,4.6237,1.731,1.731,4562.53,2087.53,1262.53,171323.0015,78386.7515
301360.SZ,20260327,67.16,5.6555,6.3859,0.85,79.7873,113.026,3.0991,9.6623,10.1983,0.5211,0.5211,5334.0,2546.0,2254.8243,358231.44,170989.36
000333.SZ,20260327,74.78,0.4657,0.6815,1.22,14.7539,12.7136,2.6112,1.3965,1.26,5.3649,5.3649,760327.6186,685204.5787,468286.7074,56857299.3189,51239598.3952
605228.SH,20260327,14.58,1.775,5.1318,0.55,,107.9287,3.2276,5.0308,4.0529,0.1637,0.1637,47915.5319,47713.5319,16502.8062,698608.4551,695663.2951
300511.SZ,20260327,7.06,2.8396,2.9127,0.75,,,3.0035,2.0922,2.4505,,,64084.7016,56005.4017,54600.3066,452437.9933,395398.136
301148.SZ,20260327,49.5,1.0682,1.6683,0.44,114.8692,101.1669,3.2509,10.3747,10.9565,0.7836,0.7836,11649.708,5887.308,3769.688,576660.546,291421.746
000610.SZ,20260327,9.24,2.4771,3.3798,0.67,,,13.9921,3.7577,4.1534,,,23674.7901,23550.4294,17260.2149,218755.0605,217605.9677
300497.SZ,20260327,19.09,27.8801,30.2588,1.59,,,4.7045,8.7302,8.6776,,,53864.8934,44084.2687,40618.751,1028280.815,841568.6895
002570.SZ,20260327,5.21,2.0361,2.3212,0.52,54.6656,40.9396,3.2713,2.0289,2.0693,,,108004.3333,107999.5333,94736.5862,562702.5765,562677.5685
600793.SH,20260327,18.48,1.2927,2.8124,0.67,,200.4561,13.7372,1.4611,1.1343,,,17690.4002,17690.4002,8131.0982,326918.5957,326918.5957
920580.BJ,20260327,12.83,1.8762,2.592,0.64,62.3509,62.3509,3.2285,7.9129,7.9129,0.5456,0.5456,8600.0,5476.3074,3964.0141,110338.0,70261.0239
002229.SZ,20260327,18.09,10.5932,10.5932,0.75,,,7.0608,17.5959,8.7544,,,49619.1488,49316.4301,49316.4301,897610.4018,892134.2205
000619.SZ,20260327,5.97,1.7331,2.6038,0.65,,,1.0328,0.4992,0.5437,,,44116.8831,36000.0,23962.0607,263377.7921,214920.0
002790.SZ,20260327,7.82,0.9981,1.8268,0.62,18.0487,28.1013,1.5499,1.3856,1.6243,2.5575,2.5575,41787.23,26069.75,14242.55,326776.1386,203865.445
300097.SZ,20260327,8.45,3.215,3.6966,1.06,,,6.4178,6.3487,15.3812,,,28854.9669,27000.9948,23483.3041,243824.4703,228158.4061
601918.SH,20260327,7.99,2.1647,4.0605,0.8,8.6498,10.0265,1.2696,1.6263,1.6769,2.0025,2.6283,259054.18,259054.18,138109.0227,2069842.8982,2069842.8982
002985.SZ,20260327,36.34,1.6127,3.0092,0.67,60.2873,60.2873,4.4825,13.1368,13.1368,0.0633,0.0633,33185.36,33093.9441,17735.6224,1205955.9824,1202633.9286
002538.SZ,20260327,7.24,2.6883,3.9833,1.28,19.8438,27.8113,1.1515,1.443,1.3906,1.6575,1.6575,85355.5763,85355.0551,57606.9751,617974.3724,617970.5989
603053.SH,20260327,10.32,0.6946,3.6559,0.71,18.7689,18.9057,1.9015,1.7394,1.7493,2.907,2.907,88889.0,88889.0,16889.0,917334.48,917334.48
603679.SH,20260327,14.42,3.4282,5.1597,0.83,,,3.0701,6.5714,5.3285,,,16734.7121,16734.7121,11118.8947,241314.5485,241314.5485
600619.SH,20260327,16.3,1.8987,2.9011,0.71,516.8764,263.2061,2.857,0.9332,0.872,0.0798,0.0798,107334.4406,78917.4798,51647.485,1749551.3818,1286354.9207
300679.SZ,20260327,34.1,1.4042,1.8752,0.56,23.2784,27.0016,2.8795,3.1078,2.6988,1.3794,1.3794,42482.0,35944.1345,26916.1686,1448636.2,1225694.9865
603757.SH,20260327,44.34,6.7249,15.4689,0.85,32.3998,57.1582,3.9189,4.3338,4.2904,1.526,1.526,18654.7259,18654.7259,8109.9259,827150.5464,827150.5464
