trade_date,sector_code,sector_name,sector_type,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,member_count,source,as_of_date,ingested_at
20260515,881142.TI,生物制品,行业,6374.915,6407.971,6282.099,6318.907,6373.849,-0.862,5439897.8,108332300.74832,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700033.TI,同花顺高估值,ST,1608.79,1628.08,1590.049,1602.342,1607.436,-0.3169,408956057.42,16023225494.561535,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700493.TI,,,1090.0739,1090.0739,1061.0073,1061.0073,1091.9499,-2.8337,8732325.3,35198256.819240004,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700391.TI,,,1019.9597,1019.9597,1005.1502,1005.1502,1023.387,-1.782,9755842.45,76220445.89335999,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885539.TI,医疗器械概念,概念,3272.771,3296.919,3234.197,3253.317,3272.856,-0.597,86254939.0,1820669252.412,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884211.TI,有机硅,行业,4929.192,5020.962,4880.058,4928.721,4913.414,0.3115,3047726.8,49663317.75136,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885854.TI,垃圾分类,概念,2071.731,2080.589,2041.368,2054.593,2071.984,-0.8393,25833861.0,293581163.17620003,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885517.TI,机器人概念,概念,4427.657,4504.611,4389.698,4437.578,4423.951,0.308,359560580.0,9269507708.458,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884212.TI,合成树脂,行业,14507.036,14922.545,14426.574,14738.042,14423.091,2.1837,3101887.5,85443042.13125001,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885910.TI,拼多多概念,概念,1916.082,1945.466,1902.0,1915.943,1912.67,0.1711,10447723.4,207433279.47296,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886066.TI,飞行汽车(eVTOL),概念,2066.453,2098.756,2050.846,2066.54,2063.347,0.1547,34833515.0,835676924.959,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884227.TI,集成电路制造,行业,19188.594,19617.6,18453.792,18654.113,19001.171,-1.8265,7192454.7,358625141.53311,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886085.TI,AI眼镜,概念,2924.866,2954.394,2865.397,2894.134,2917.76,-0.8097,86569748.0,2768665023.5612,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884026.TI,氮肥,行业,1535.278,1573.774,1527.61,1548.21,1542.304,0.3829,2652068.4,17422498.146959998,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884271.TI,个护用品,行业,3159.499,3165.721,3096.976,3116.261,3162.532,-1.4631,884690.85,13248687.824175,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,882025.TI,陕西,地域,4915.612,4941.792,4844.893,4885.758,4916.322,-0.6217,25728633.0,609616803.1653,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886107.TI,2025年报预增,概念,1251.222,1262.305,1233.082,1242.237,1249.867,-0.6105,164478560.0,6037267784.08,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884297.TI,,,7919.73,7928.188,7810.399,7852.031,7959.542,-1.3507,531127.27,13750619.456665002,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885705.TI,乡村振兴,概念,1246.308,1248.675,1227.745,1234.289,1247.774,-1.0807,136262470.0,1823518878.528,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886007.TI,TOPCON电池,概念,1358.09,1360.949,1318.915,1338.221,1358.47,-1.4906,55119255.0,1022390525.2185,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884066.TI,房屋建设,行业,1427.999,1438.492,1411.909,1420.567,1431.427,-0.7587,5407833.1,36015627.66269,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,883930.TI,破净股,特色,2004.752,2005.341,1974.989,1982.724,2004.642,-1.0934,138751850.0,835244511.445,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884081.TI,印刷包装机械,行业,3416.792,3478.839,3393.529,3430.43,3405.862,0.7213,1244426.23,19947779.139030997,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884203.TI,产业地产,行业,2456.543,2459.706,2395.041,2405.838,2453.414,-1.9392,2825827.9,29662432.88351,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885333.TI,移动支付,概念,2511.36,2541.877,2477.161,2492.435,2509.312,-0.6726,22002818.0,380391318.42939997,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885914.TI,煤炭概念,概念,2413.029,2433.722,2387.399,2399.779,2421.633,-0.9024,56214006.0,512497471.30139995,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885806.TI,华为概念,概念,3902.644,3940.987,3845.55,3874.545,3900.989,-0.6779,380092140.0,9360035011.998,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700551.TI,,,644.3657,644.3657,635.4354,635.4354,643.7155,-1.2863,1196234.67,13402732.866147,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885406.TI,食品安全,概念,4936.003,4966.326,4864.488,4896.298,4933.869,-0.7615,13968814.0,241209289.5078,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884230.TI,品牌消费电子,行业,2815.184,2895.581,2812.693,2865.277,2819.586,1.6205,1014517.27,49122114.599584,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884154.TI,高速公路,行业,2116.226,2116.735,2093.518,2101.997,2114.203,-0.5773,2630476.3,14900859.096609998,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700550.TI,,,975.6898,975.6898,957.4337,957.4337,975.6898,-1.8711,207162.45,982695.79782,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885903.TI,环氧丙烷,概念,1762.883,1793.309,1755.913,1762.878,1747.432,0.8839,12085880.4,198187892.56331998,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885615.TI,体育产业,概念,1142.515,1156.399,1136.002,1142.995,1142.611,0.0336,37105518.0,408802623.46140003,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885744.TI,雄安新区,概念,1281.654,1282.606,1258.828,1266.164,1282.575,-1.2795,86826434.0,882703575.9742,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700383.TI,,,4083.166,4100.6557,4083.166,4100.6557,4086.3779,0.3494,33113918.48,617965323.890064,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,882017.TI,江苏,地域,7967.96,8057.048,7899.211,7961.436,7959.646,0.0225,176444770.0,4838256749.216,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885811.TI,玉米,概念,2565.488,2565.677,2510.578,2522.09,2572.409,-1.9561,7039862.9,54236511.75418001,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700517.TI,,,893.3228,893.3228,890.2937,890.2937,893.7983,-0.3921,1920249.71,10073822.003631,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,882004.TI,黑龙江,地域,2816.519,2822.07,2770.494,2783.535,2819.669,-1.2815,14838479.0,121098310.96689999,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886034.TI,数字水印,概念,1250.495,1259.999,1225.383,1233.39,1256.193,-1.8152,11675269.5,191465079.5844,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884238.TI,血液制品,行业,7279.828,7290.933,7146.928,7186.619,7264.488,-1.0719,790129.41,9284731.683969,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,871012.TI,,,2646.191,2671.98,2618.541,2641.297,2657.739,-0.6186,369006.19,21662545.284569,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886015.TI,创新药,概念,1322.92,1329.896,1305.592,1312.881,1324.32,-0.8638,37064459.0,725329223.9546001,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885948.TI,柔性直流输电,概念,1806.067,1815.176,1760.316,1774.172,1805.646,-1.7431,41738389.0,837418167.7015,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,883917.TI,行业龙头,特色,1613.079,1617.342,1588.385,1595.951,1612.956,-1.0543,167581470.0,5334738241.5390005,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,871028.TI,,,1728.504,1729.429,1708.643,1728.533,1722.519,0.3491,791070.38,3241727.310202,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884181.TI,航空装备,行业,2542.445,2554.077,2493.706,2510.82,2543.916,-1.301,8990086.6,328700940.32116,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885378.TI,智慧城市,概念,4764.927,4792.118,4688.768,4718.088,4765.701,-0.9991,127888216.0,2463242139.5544,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885890.TI,抖音概念(字节概念),概念,1877.647,1903.902,1856.162,1869.387,1875.385,-0.3198,78508459.0,2268305651.6575,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,883934.TI,保险重仓,特色,1999.408,2008.956,1972.748,1983.631,1999.009,-0.7693,236715460.0,5063746105.682,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,883304.TI,中证500成份股,概念,8676.621,8717.092,8473.042,8536.344,8670.157,-1.5434,270961760.0,6430247718.912001,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884083.TI,楼宇设备,行业,2386.42,2391.876,2342.847,2356.993,2381.957,-1.048,1103610.87,15531226.134597002,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,881282.TI,,,7812.748,7872.387,7646.842,7752.902,7814.537,-0.7887,11220333.3,344368859.47695005,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884288.TI,,,26414.338,26966.155,25819.942,26112.408,26369.784,-0.976,5767429.4,373897257.31554,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,881172.TI,电子化学品,行业,89770.589,92397.422,88768.587,90293.41,89353.015,1.0524,13606401.0,600529393.2558,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,886013.TI,信创,概念,2242.128,2263.549,2205.269,2220.067,2240.196,-0.8985,77629508.0,2104450569.4211998,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700032.TI,同花顺低估值,ST,2462.57,2465.351,2425.609,2438.494,2463.903,-1.0313,619657303.94,6043641616.787608,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884001.TI,种子生产,行业,3091.093,3091.093,3000.037,3021.467,3103.345,-2.6384,2185508.0,15904378.817599999,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700523.TI,,,221.9682,223.6591,221.9682,223.6591,221.0046,1.2011,615865.77,10436584.511574,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700321.TI,,,2522.19,2522.19,2476.7665,2476.7665,2528.0196,-2.0274,265541201.05,4759374608.779466,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885617.TI,福建自贸区,概念,1810.114,1813.919,1776.412,1789.094,1811.577,-1.2411,51202501.0,913836636.5975,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,871024.TI,,,2805.843,2814.78,2789.247,2807.788,2807.586,0.0072,1615688.2,51765195.80862,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884270.TI,综合环境治理,行业,1960.679,1971.176,1932.233,1943.162,1964.021,-1.0621,5755188.1,44011649.95713,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,700057.TI,同花顺小市值200,BB,58413.373,58666.455,57420.442,57834.994,58350.494,-0.8835,14487573.09,150582385.940151,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884250.TI,股份制银行,行业,2273.828,2288.449,2263.276,2267.757,2274.053,-0.2769,10197364.1,96103018.48763001,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,885611.TI,阿里巴巴概念,概念,2186.549,2211.551,2156.908,2172.2,2183.609,-0.5225,149377500.0,3805854882.75,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884150.TI,新能源发电,行业,2282.019,2283.842,2220.063,2241.755,2296.059,-2.3651,50117666.0,366360138.46,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884039.TI,聚氨酯,行业,3795.527,3899.577,3795.527,3843.568,3801.669,1.1021,3522475.7,58370944.824700005,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,882010.TI,贵州,地域,3600.171,3630.416,3556.092,3576.776,3599.224,-0.6237,9171160.3,193351904.14078,0.0,ths_daily,20260515,2026-06-18T20:06:42
20260515,884107.TI,,,1008.916,1038.616,1008.916,1025.406,1007.651,1.762,1468329.6,8958572.555520002,0.0,ths_daily,20260515,2026-06-18T20:06:42
