trade_date,index_code,index_name,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,source,as_of_date,ingested_at
20260416,000001.SH,,4030.1378,4057.8314,4028.9086,4055.5468,4027.2095,0.7036,545876967.0,976565489700.0,index_daily,20260618,2026-06-18T17:50:41
20260417,000001.SH,,4043.3813,4058.6041,4038.4287,4051.4254,4055.5468,-0.1016,548791406.0,1013520660200.0,index_daily,20260618,2026-06-18T17:50:41
20260420,000001.SH,,4053.3745,4083.1902,4051.685,4082.1271,4051.4254,0.7578,589841379.0,1084578006400.0001,index_daily,20260618,2026-06-18T17:50:41
20260421,000001.SH,,4075.8454,4086.6369,4062.1326,4085.0766,4082.1271,0.0723,576689450.0,1033349016200.0,index_daily,20260618,2026-06-18T17:50:41
20260422,000001.SH,,4074.8131,4106.8441,4074.6796,4106.2581,4085.0766,0.5185,582466346.0,1093625892400.0001,index_daily,20260618,2026-06-18T17:50:41
20260423,000001.SH,,4110.7883,4114.8443,4070.4598,4093.2501,4106.2581,-0.3168,671166092.0,1234396207600.0,index_daily,20260618,2026-06-18T17:50:41
20260424,000001.SH,,4081.0326,4092.6131,4061.1453,4079.9004,4093.2501,-0.3261,605031798.0,1143000195100.0,index_daily,20260618,2026-06-18T17:50:41
20260427,000001.SH,,4074.8109,4092.8305,4071.0803,4086.3442,4079.9004,0.1579,589950867.0,1136051921700.0,index_daily,20260618,2026-06-18T17:50:41
20260428,000001.SH,,4076.1431,4090.2014,4062.872,4078.6374,4086.3442,-0.1886,600507498.0,1113955561900.0,index_daily,20260618,2026-06-18T17:50:41
20260429,000001.SH,,4061.8221,4112.1518,4061.8221,4107.5144,4078.6374,0.708,614221451.0,1126615371100.0,index_daily,20260618,2026-06-18T17:50:41
20260430,000001.SH,,4107.2974,4118.7552,4100.9656,4112.1593,4107.5144,0.1131,656912728.0,1276194739100.0,index_daily,20260618,2026-06-18T17:50:41
20260506,000001.SH,,4135.4505,4166.1469,4129.9108,4160.1737,4112.1593,1.1676,701177480.0,1465903193400.0,index_daily,20260618,2026-06-18T17:50:41
20260507,000001.SH,,4168.4467,4180.2099,4163.1365,4180.0922,4160.1737,0.4788,685574249.0,1359099510000.0,index_daily,20260618,2026-06-18T17:50:41
20260508,000001.SH,,4163.8537,4183.0631,4154.2456,4179.9524,4180.0922,-0.0033,697019094.0,1331673066100.0,index_daily,20260618,2026-06-18T17:50:41
20260511,000001.SH,,4201.3465,4229.5795,4186.0819,4225.0207,4179.9524,1.0782,762736287.0,1584366746200.0,index_daily,20260618,2026-06-18T17:50:41
20260512,000001.SH,,4229.2833,4230.1839,4199.344,4214.4891,4225.0207,-0.2493,718984002.0,1465272590600.0,index_daily,20260618,2026-06-18T17:50:41
20260513,000001.SH,,4192.3145,4245.0684,4192.3145,4242.572,4214.4891,0.6663,705018739.0,1447463947700.0,index_daily,20260618,2026-06-18T17:50:41
20260514,000001.SH,,4256.1569,4258.8631,4177.9175,4177.9175,4242.572,-1.5239,764235004.0,1498116800600.0,index_daily,20260618,2026-06-18T17:50:41
20260515,000001.SH,,4174.175,4191.8068,4114.0856,4135.3894,4177.9175,-1.0179,733162357.0,1519240026500.0,index_daily,20260618,2026-06-18T17:50:41
20260518,000001.SH,,4120.1401,4145.6612,4108.6044,4131.5276,4135.3894,-0.0934,627233137.0,1315084195400.0,index_daily,20260618,2026-06-18T17:50:41
20260519,000001.SH,,4122.9608,4170.2887,4107.9944,4169.5378,4131.5276,0.92,617611067.0,1306522478000.0,index_daily,20260618,2026-06-18T17:50:41
20260520,000001.SH,,4152.6984,4169.8468,4139.9744,4162.1845,4169.5378,-0.1764,624152035.0,1358926939200.0,index_daily,20260618,2026-06-18T17:50:41
20260521,000001.SH,,4174.3772,4199.5269,4074.2167,4077.2765,4162.1845,-2.04,727218701.0,1595726694700.0,index_daily,20260618,2026-06-18T17:50:41
20260522,000001.SH,,4096.1723,4120.0875,4067.7471,4112.8996,4077.2765,0.8737,589459644.0,1285847521700.0,index_daily,20260618,2026-06-18T17:50:41
20260525,000001.SH,,4126.3376,4153.8788,4119.7996,4152.5686,4112.8996,0.9645,615930861.0,1445655378400.0,index_daily,20260618,2026-06-18T17:50:41
20260526,000001.SH,,4137.3196,4150.2888,4104.4593,4145.373,4152.5686,-0.1733,654777756.0,1461685377700.0,index_daily,20260618,2026-06-18T17:50:41
20260527,000001.SH,,4138.8053,4153.5614,4077.616,4093.7266,4145.373,-1.2459,660467399.0,1473449051000.0,index_daily,20260618,2026-06-18T17:50:41
20260528,000001.SH,,4080.3044,4110.7821,4055.8275,4098.6358,4093.7266,0.1199,621179950.0,1361325732900.0,index_daily,20260618,2026-06-18T17:50:41
20260529,000001.SH,,4110.5212,4112.9553,4055.8861,4068.5691,4098.6358,-0.7336,731597710.0,1532067353000.0,index_daily,20260618,2026-06-18T17:50:41
20260601,000001.SH,,4067.1578,4093.0405,4045.6898,4057.74,4068.5691,-0.2662,676025806.0,1319801914000.0,index_daily,20260618,2026-06-18T17:50:41
20260602,000001.SH,,4061.4629,4089.5747,4032.5826,4075.1016,4057.74,0.4279,642244656.0,1280966176200.0,index_daily,20260618,2026-06-18T17:50:41
